,Country,CAF World Giving Index ranking,CAF World Giving Index score (%),Helping a stranger ranking,Helping a stranger (%),Donating money ranking,Donating money (%),"Volunteering time
ranking",Volunteering time (%),GDP,Year
0,Indonesia,1,68,76,58,1,84,1,63,4291.812554,2022
1,Kenya,2,61,7,77,20,55,2,52,2006.83224,2022
2,United States of America,3,59,4,80,9,61,7,37,69287.53659,2022
3,Australia,4,55,34,69,6,64,20,33,59934.12941,2022
4,New Zealand,5,54,46,66,10,61,14,34,48801.68513,2022
5,Myanmar,6,52,83,55,2,73,36,28,1187.238484,2022
6,Sierra Leone,7,51,1,83,76,27,3,44,515.9320918,2022
7,Canada,8,51,50,65,13,59,33,29,52051.35146,2022
8,Zambia,9,50,18,74,53,35,4,43,1120.630171,2022
9,Ukraine,10,49,13,75,29,47,54,24,4835.571777,2022
10,Ireland,11,49,87,55,14,59,21,32,99152.10257,2022
11,Thailand,12,48,58,64,8,62,75,19,7233.388858,2022
12,Czech Republic,13,48,54,64,21,55,52,24,26378.49996,2022
13,Nigeria,14,48,5,79,73,29,13,35,2085.030765,2022
14,United Arab Emirates,15,47,48,65,18,56,70,21,,2022
15,Poland,16,47,45,66,26,50,45,25,17840.92105,2022
16,United Kingdom,17,47,97,52,5,65,55,24,47334.35531,2022
17,Brazil,18,47,11,76,38,41,48,25,7518.834284,2022
18,Guinea,19,47,26,72,52,35,15,33,1174.352972,2022
19,Philippines,20,47,15,75,79,26,6,39,3548.828323,2022
20,Argentina,21,47,12,76,56,33,24,31,10729.23258,2022
21,Uganda,22,46,8,77,78,27,12,35,858.0575127,2022
22,Iceland,23,46,109,50,4,67,69,22,68383.76534,2022
23,Denmark,24,46,74,60,22,55,61,23,67803.0471,2022
24,Mongolia,25,46,107,50,24,52,11,36,4534.918589,2022
25,Honduras,26,46,37,68,47,36,17,33,2831.033021,2022
26,Serbia,27,46,39,68,11,60,116,9,9214.993546,2022
27,Jamaica,28,46,3,80,95,20,9,36,4586.650509,2022
28,Netherlands,29,46,114,43,3,68,42,26,58061.00167,2022
29,Russian Federation,30,46,31,71,35,42,53,24,12172.78516,2022
30,Singapore,31,45,73,61,23,52,57,23,72794.00302,2022
31,Norway,32,45,106,50,15,59,41,26,89202.75054,2022
32,Austria,33,45,102,51,17,57,38,27,53267.93275,2022
33,North Macedonia,34,45,35,69,25,51,96,14,6720.896285,2022
34,Malta,35,45,110,48,7,64,60,23,33257.42203,2022
35,Venezuela,36,45,2,82,87,22,27,30,,2022
36,Mexico,37,44,10,76,66,30,37,27,9926.422768,2022
37,Dominican Republic,38,44,25,73,82,25,10,36,8603.789905,2022
38,Paraguay,39,44,29,71,59,33,31,29,5400.103826,2022
39,Sri Lanka,40,44,44,66,69,30,8,37,3814.715219,2022
40,Kyrgyzstan,41,44,47,65,33,44,64,23,1276.242643,2022
41,Bosnia and Herzegovina,42,44,66,62,12,60,110,10,6916.438315,2022
42,Costa Rica,43,44,6,78,60,32,66,22,12508.61563,2022
43,Kosovo,44,43,59,64,19,56,106,11,4986.582469,2022
44,Bolivia,45,43,14,75,90,22,19,33,3414.892849,2022
45,Ghana,46,43,69,61,50,35,16,33,2445.290749,2022
46,Vietnam,47,43,56,64,39,40,43,26,3694.019046,2022
47,Iran,48,43,55,64,27,49,91,15,,2022
48,China,49,42,49,65,51,35,35,28,12556.33312,2022
49,Sweden,50,42,101,51,16,58,81,17,60238.98656,2022
50,Colombia,51,42,9,76,80,25,50,24,6131.225922,2022
51,Ecuador,52,42,17,74,93,21,30,30,5934.875496,2022
52,Slovakia,53,41,62,63,36,42,77,19,,2022
53,Bulgaria,54,41,28,72,54,34,80,18,11634.97102,2022
54,Germany,55,41,91,54,28,48,72,20,50801.78671,2022
55,Nepal,56,40,85,55,46,36,26,30,1222.878794,2022
56,India,57,40,82,57,61,31,18,33,2277.434347,2022
57,Nicaragua,58,40,51,64,75,27,29,30,2090.753461,2022
58,Uruguay,59,40,27,72,68,30,78,19,17020.64864,2022
59,Cyprus,60,40,64,63,49,35,65,22,30798.47656,2022
60,Senegal,61,40,30,71,86,24,46,25,1606.472061,2022
61,Hungary,62,40,19,73,55,33,101,13,18772.67329,2022
62,Turkey,63,40,16,75,57,33,104,11,9586.61245,2022
63,Estonia,64,40,84,55,34,43,74,20,27280.65844,2022
64,Burkina Faso,65,39,72,61,83,24,22,32,918.1525819,2022
65,Tajikistan,66,39,75,60,108,15,5,43,897.087902,2022
66,Malawi,67,39,20,73,110,14,28,30,642.6569158,2022
67,Peru,68,39,33,70,91,22,51,24,6692.248375,2022
68,Slovenia,69,39,108,50,37,42,49,25,29200.81988,2022
69,Uzbekistan,70,38,88,54,31,45,90,15,1983.064723,2022
70,Chile,71,38,42,67,63,30,86,16,16502.83857,2022
71,Congo Brazzaville,72,38,36,69,99,18,43,26,2213.880863,2022
72,Mali,73,38,60,63,104,18,23,32,917.9130633,2022
73,Finland,74,37,95,53,44,37,63,23,53982.61427,2022
74,Iraq,75,37,22,73,72,29,109,10,5048.387813,2022
75,Switzerland,76,37,115,40,30,45,40,27,93457.4404,2022
76,Cameroon,77,37,32,71,98,19,68,22,1661.702105,2022
77,Israel,78,37,100,51,42,39,71,21,51430.07968,2022
78,Mauritius,79,37,90,54,58,33,47,25,8812.108249,2022
79,Cote d'Ivoire,80,37,43,67,85,24,73,20,2578.760412,2022
80,Hong Kong,81,37,86,55,32,44,103,12,49660.63424,2022
81,Croatia,82,37,65,63,43,37,108,10,17398.76598,2022
82,Lithuania,83,37,52,64,77,27,76,19,23433.39091,2022
83,Panama,84,36,53,64,88,22,59,23,14516.45805,2022
84,Saudi Arabia,85,36,57,64,71,29,85,16,23585.88563,2022
85,El Salvador,86,36,71,61,96,20,39,27,4408.520365,2022
86,South Africa,87,35,67,62,106,16,34,28,6994.211654,2022
87,South Korea,88,35,96,53,45,36,89,16,,2022
88,Namibia,89,35,41,68,112,13,62,23,4729.270937,2022
89,"Moldova, Republic of",90,34,38,68,92,22,100,13,,2022
90,Taiwan,91,34,99,51,41,39,102,12,,2022
91,Togo,92,34,80,57,89,22,58,23,992.3284294,2022
92,Kazakhstan,93,34,111,47,40,39,87,16,10041.48984,2022
93,Mozambique,94,34,92,53,101,18,25,30,500.4448085,2022
94,Gabon,95,34,23,73,113,11,83,17,8016.990495,2022
95,Albania,96,34,78,57,48,36,118,8,6494.385713,2022
96,Tanzania,97,33,92,53,64,30,94,14,1135.539673,2022
97,Benin,98,32,89,54,97,19,56,24,1428.447177,2022
98,Spain,99,32,104,50,62,31,88,16,30115.70589,2022
