,Country,2018,2019,2021,2022
0,Indonesia,59,50.0,69.0,68.0
1,Australia,59,56.0,49.0,55.0
2,New Zealand,58,57.0,47.0,54.0
3,United States of America,58,58.0,,59.0
4,Ireland,56,56.0,40.0,49.0
5,United Kingdom,55,54.0,41.0,47.0
6,Singapore,54,35.0,,45.0
7,Kenya,54,47.0,58.0,61.0
8,Myanmar,54,58.0,51.0,52.0
9,Bahrain,53,,45.0,
10,Netherlands,51,53.0,37.0,46.0
11,United Arab Emirates,51,45.0,44.0,47.0
12,Norway,50,,36.0,45.0
13,Haiti,49,40.0,,
14,Canada,49,55.0,38.0,51.0
15,Nigeria,48,42.0,52.0,48.0
16,Iceland,48,,36.0,46.0
17,Malta,47,47.0,31.0,45.0
18,Liberia,47,44.0,,
19,Sierra Leone,47,42.0,,51.0
20,Zambia,46,39.0,43.0,50.0
21,Germany,46,43.0,30.0,41.0
22,Trinidad and Tobago,46,,,
23,Denmark,46,44.0,37.0,46.0
24,Mauritius,46,,34.0,37.0
25,Switzerland,45,45.0,28.0,37.0
26,Sri Lanka,45,51.0,34.0,44.0
27,Libya,45,,,
28,Iran,45,41.0,39.0,43.0
29,Hong Kong,44,,26.0,37.0
30,Gambia (The),44,,,
31,Austria,44,45.0,34.0,45.0
32,Kuwait,43,,,
33,Iraq,43,34.0,39.0,37.0
34,Cyprus,43,41.0,32.0,40.0
35,Tajikistan,42,36.0,45.0,39.0
36,Ghana,42,38.0,47.0,43.0
37,Israel,42,39.0,28.0,37.0
38,Belgium,41,36.0,21.0,
39,South Africa,41,36.0,41.0,35.0
40,Luxembourg,41,40.0,,
41,Sweden,41,40.0,34.0,42.0
42,Turkmenistan,40,43.0,,
43,Finland,40,41.0,31.0,37.0
44,Mongolia,39,38.0,44.0,46.0
45,Honduras,39,36.0,,46.0
46,Slovenia,39,38.0,28.0,39.0
47,South Sudan,39,,,
48,Dominican Republic,39,39.0,39.0,44.0
49,Uganda,39,38.0,46.0,46.0
50,Saudi Arabia,37,34.0,35.0,36.0
51,Nepal,37,33.0,40.0,40.0
52,Uzbekistan,36,41.0,40.0,38.0
53,Spain,36,32.0,27.0,32.0
54,Kyrgyzstan,36,33.0,38.0,44.0
55,Jamaica,36,,34.0,46.0
56,Malawi,35,38.0,,39.0
57,Dem. Rep. of the Congo,35,,,
58,Paraguay,34,32.0,41.0,44.0
59,Republic of Korea,34,32.0,22.0,
60,Chile,34,37.0,39.0,38.0
61,Thailand,34,42.0,46.0,48.0
62,Costa Rica,34,38.0,30.0,44.0
63,Cameroon,34,33.0,43.0,37.0
64,"Taiwan, Province of China",34,,,
65,Guatemala,34,40.0,,
66,Kosovo,33,31.0,46.0,43.0
67,Nicaragua,33,30.0,37.0,40.0
68,Italy,33,33.0,22.0,29.0
69,Central African Republic,32,,,
70,Guinea,32,34.0,,47.0
71,Niger,32,24.0,,
72,France,32,30.0,25.0,32.0
73,Namibia,32,,37.0,35.0
74,Bangladesh,31,26.0,33.0,
75,Jordan,30,25.0,26.0,32.0
76,Zimbabwe,30,29.0,37.0,31.0
77,Uruguay,30,30.0,32.0,40.0
78,Panama,30,35.0,,36.0
79,Mozambique,29,,,34.0
80,Colombia,29,35.0,35.0,42.0
81,Ukraine,29,24.0,43.0,49.0
82,Burkina Faso,29,25.0,,39.0
83,Portugal,28,25.0,20.0,26.0
84,Tanzania (United Rep. of),28,,,
85,Lebanon,28,30.0,24.0,24.0
86,Bolivia,28,31.0,35.0,43.0
87,Senegal,28,28.0,35.0,40.0
88,Slovakia,28,25.0,32.0,41.0
89,Philippines,28,39.0,33.0,47.0
90,Bosnia and Herzegovina,28,,,44.0
91,Pakistan,28,29.0,25.0,29.0
92,Algeria,28,,31.0,30.0
93,Mali,28,24.0,31.0,38.0
94,Argentina,28,28.0,32.0,47.0
95,Lesotho,28,,,
96,Kazakhstan,28,26.0,28.0,34.0
97,Botswana,27,30.0,,
98,Ethiopia,27,26.0,44.0,
99,Moldova (Republic of),27,26.0,,
100,Madagascar,27,21.0,,
