Country,2018,2019,2021,2022
Indonesia,59,50.0,69.0,68.0
Australia,59,56.0,49.0,55.0
New Zealand,58,57.0,47.0,54.0
United States of America,58,58.0,,59.0
Ireland,56,56.0,40.0,49.0
United Kingdom,55,54.0,41.0,47.0
Singapore,54,35.0,,45.0
Kenya,54,47.0,58.0,61.0
Myanmar,54,58.0,51.0,52.0
Bahrain,53,,45.0,
Netherlands,51,53.0,37.0,46.0
United Arab Emirates,51,45.0,44.0,47.0
Norway,50,,36.0,45.0
Haiti,49,40.0,,
Canada,49,55.0,38.0,51.0
Nigeria,48,42.0,52.0,48.0
Iceland,48,,36.0,46.0
Malta,47,47.0,31.0,45.0
Liberia,47,44.0,,
Sierra Leone,47,42.0,,51.0
Zambia,46,39.0,43.0,50.0
Germany,46,43.0,30.0,41.0
Trinidad and Tobago,46,,,
Denmark,46,44.0,37.0,46.0
Mauritius,46,,34.0,37.0
Switzerland,45,45.0,28.0,37.0
Sri Lanka,45,51.0,34.0,44.0
Libya,45,,,
Iran,45,41.0,39.0,43.0
Hong Kong,44,,26.0,37.0
Gambia (The),44,,,
Austria,44,45.0,34.0,45.0
Kuwait,43,,,
Iraq,43,34.0,39.0,37.0
Cyprus,43,41.0,32.0,40.0
Tajikistan,42,36.0,45.0,39.0
Ghana,42,38.0,47.0,43.0
Israel,42,39.0,28.0,37.0
Belgium,41,36.0,21.0,
South Africa,41,36.0,41.0,35.0
Luxembourg,41,40.0,,
Sweden,41,40.0,34.0,42.0
Turkmenistan,40,43.0,,
Finland,40,41.0,31.0,37.0
Mongolia,39,38.0,44.0,46.0
Honduras,39,36.0,,46.0
Slovenia,39,38.0,28.0,39.0
South Sudan,39,,,
Dominican Republic,39,39.0,39.0,44.0
Uganda,39,38.0,46.0,46.0
Saudi Arabia,37,34.0,35.0,36.0
Nepal,37,33.0,40.0,40.0
Uzbekistan,36,41.0,40.0,38.0
Spain,36,32.0,27.0,32.0
Kyrgyzstan,36,33.0,38.0,44.0
Jamaica,36,,34.0,46.0
Malawi,35,38.0,,39.0
Dem. Rep. of the Congo,35,,,
Paraguay,34,32.0,41.0,44.0
Republic of Korea,34,32.0,22.0,
Chile,34,37.0,39.0,38.0
Thailand,34,42.0,46.0,48.0
Costa Rica,34,38.0,30.0,44.0
Cameroon,34,33.0,43.0,37.0
"Taiwan, Province of China",34,,,
Guatemala,34,40.0,,
Kosovo,33,31.0,46.0,43.0
Nicaragua,33,30.0,37.0,40.0
Italy,33,33.0,22.0,29.0
Central African Republic,32,,,
Guinea,32,34.0,,47.0
Niger,32,24.0,,
France,32,30.0,25.0,32.0
Namibia,32,,37.0,35.0
Bangladesh,31,26.0,33.0,
Jordan,30,25.0,26.0,32.0
Zimbabwe,30,29.0,37.0,31.0
Uruguay,30,30.0,32.0,40.0
Panama,30,35.0,,36.0
Mozambique,29,,,34.0
Colombia,29,35.0,35.0,42.0
Ukraine,29,24.0,43.0,49.0
Burkina Faso,29,25.0,,39.0
Portugal,28,25.0,20.0,26.0
Tanzania (United Rep. of),28,,,
Lebanon,28,30.0,24.0,24.0
Bolivia,28,31.0,35.0,43.0
Senegal,28,28.0,35.0,40.0
Slovakia,28,25.0,32.0,41.0
Philippines,28,39.0,33.0,47.0
Bosnia and Herzegovina,28,,,44.0
Pakistan,28,29.0,25.0,29.0
Algeria,28,,31.0,30.0
Mali,28,24.0,31.0,38.0
Argentina,28,28.0,32.0,47.0
Lesotho,28,,,
Kazakhstan,28,26.0,28.0,34.0
Botswana,27,30.0,,
Ethiopia,27,26.0,44.0,
Moldova (Republic of),27,26.0,,
Madagascar,27,21.0,,
Peru,27,28.0,34.0,39.0
Chad,27,25.0,,
Romania,27,24.0,28.0,30.0
Rwanda,26,21.0,,
Morocco,26,26.0,23.0,31.0
Benin,26,23.0,29.0,32.0
Egypt,26,23.0,33.0,23.0
Venezuela,26,23.0,35.0,45.0
Albania,26,23.0,33.0,34.0
Estonia,26,25.0,30.0,40.0
Russian Federation,25,21.0,33.0,46.0
Côte d'Ivoire,25,,,
Poland,24,25.0,38.0,47.0
Gabon,24,27.0,26.0,34.0
Mexico,24,28.0,32.0,44.0
Congo (Brazzaville),24,27.0,35.0,
Montenegro,24,20.0,34.0,
Togo,24,,,34.0
Georgia,24,21.0,40.0,31.0
Ecuador,24,24.0,29.0,42.0
Hungary,23,23.0,31.0,40.0
Belarus,23,25.0,,
Brazil,23,28.0,35.0,47.0
Armenia,23,21.0,,29.0
India,22,26.0,44.0,40.0
Czech Republic,22,22.0,30.0,48.0
Bulgaria,22,19.0,37.0,41.0
El Salvador,22,25.0,31.0,36.0
Japan,22,23.0,12.0,20.0
Serbia,21,19.0,35.0,46.0
Macedonia (FYRO),20,,,
Turkey,20,,31.0,40.0
Croatia,20,21.0,30.0,37.0
Mauritania,20,25.0,,
Lao People's DemocraticRepublic,20,,,
Tunisia,20,24.0,29.0,28.0
Afghanistan,19,31.0,,21.0
Latvia,19,22.0,25.0,29.0
Lithuania,19,19.0,28.0,37.0
Azerbaijan,18,24.0,,
Cambodia,18,24.0,28.0,19.0
Palestine (State of),17,,,
China,17,16.0,28.0,42.0
Greece,17,16.0,26.0,32.0
Yemen,15,17.0,,
