Country,CAF World Giving Index score (%) 2018,Helping a stranger (%) 2018,Donating money (%) 2018,Volunteering time (%) 2018,CAF World Giving Index score (%) 2019,Helping a stranger (%) 2019,Donating money (%) 2019,Volunteering time (%) 2019,CAF World Giving Index score (%) 2021,Helping a stranger (%) 2021,Donating money (%) 2021,Volunteering time (%) 2021,CAF World Giving Index score (%) 2022,Helping a stranger (%) 2022,Donating money (%) 2022,Volunteering time (%) 2022
Indonesia,59,46.0,78,53,50.0,42.0,69.0,40.0,69.0,65.0,83.0,60.0,68.0,58.0,84.0,63.0
Australia,59,65.0,71,40,56.0,64.0,68.0,37.0,49.0,57.0,61.0,30.0,55.0,69.0,64.0,33.0
New Zealand,58,66.0,68,40,57.0,64.0,65.0,41.0,47.0,56.0,51.0,34.0,54.0,66.0,61.0,34.0
United States of America,58,72.0,61,39,58.0,72.0,61.0,42.0,,,,,59.0,80.0,61.0,37.0
Ireland,56,64.0,64,40,56.0,62.0,69.0,38.0,40.0,49.0,45.0,26.0,49.0,55.0,59.0,32.0
United Kingdom,55,63.0,68,33,54.0,60.0,71.0,30.0,41.0,43.0,59.0,22.0,47.0,52.0,65.0,24.0
Singapore,54,67.0,58,39,35.0,39.0,48.0,19.0,,,,,45.0,61.0,52.0,23.0
Kenya,54,72.0,46,45,47.0,68.0,38.0,37.0,58.0,76.0,49.0,49.0,61.0,77.0,55.0,52.0
Myanmar,54,40.0,88,34,58.0,49.0,81.0,43.0,51.0,51.0,71.0,31.0,52.0,55.0,73.0,28.0
Bahrain,53,74.0,53,33,,,,,45.0,64.0,51.0,19.0,,,,
Netherlands,51,52.0,66,37,53.0,53.0,71.0,36.0,37.0,35.0,56.0,21.0,46.0,43.0,68.0,26.0
United Arab Emirates,51,68.0,62,23,45.0,63.0,52.0,19.0,44.0,66.0,47.0,21.0,47.0,65.0,56.0,21.0
Norway,50,54.0,65,32,,,,,36.0,39.0,49.0,19.0,45.0,50.0,59.0,26.0
Haiti,49,62.0,54,31,40.0,44.0,45.0,30.0,,,,,,,,
Canada,49,57.0,56,33,55.0,64.0,63.0,37.0,38.0,52.0,44.0,18.0,51.0,65.0,59.0,29.0
Nigeria,48,71.0,36,37,42.0,66.0,27.0,32.0,52.0,82.0,33.0,42.0,48.0,79.0,29.0,35.0
Iceland,48,50.0,65,27,,,,,36.0,35.0,56.0,16.0,46.0,50.0,67.0,22.0
Malta,47,53.0,64,25,47.0,45.0,71.0,24.0,31.0,37.0,39.0,18.0,45.0,48.0,64.0,23.0
Liberia,47,80.0,14,47,44.0,77.0,12.0,43.0,,,,,,,,
Sierra Leone,47,80.0,23,37,42.0,74.0,21.0,33.0,,,,,51.0,83.0,27.0,44.0
Zambia,46,70.0,35,34,39.0,67.0,22.0,28.0,43.0,76.0,26.0,28.0,50.0,74.0,35.0,43.0
Germany,46,58.0,55,26,43.0,56.0,49.0,26.0,30.0,40.0,34.0,15.0,41.0,54.0,48.0,20.0
Trinidad and Tobago,46,70.0,37,31,,,,,,,,,,,,
Denmark,46,58.0,56,23,44.0,52.0,58.0,22.0,37.0,46.0,46.0,19.0,46.0,60.0,55.0,23.0
Mauritius,46,57.0,42,38,,,,,34.0,46.0,30.0,25.0,37.0,54.0,33.0,25.0
Switzerland,45,40.0,60,37,45.0,48.0,56.0,32.0,28.0,30.0,36.0,19.0,37.0,40.0,45.0,27.0
Sri Lanka,45,52.0,39,45,51.0,55.0,50.0,46.0,34.0,49.0,26.0,26.0,44.0,66.0,30.0,37.0
Libya,45,83.0,28,24,,,,,,,,,,,,
Iran,45,61.0,53,20,41.0,56.0,48.0,20.0,39.0,62.0,45.0,11.0,43.0,64.0,49.0,15.0
Hong Kong,44,60.0,55,19,,,,,26.0,37.0,34.0,6.0,37.0,55.0,44.0,12.0
Gambia (The),44,74.0,28,30,,,,,,,,,,,,
Austria,44,52.0,54,26,45.0,53.0,53.0,27.0,34.0,42.0,41.0,18.0,45.0,51.0,57.0,27.0
Kuwait,43,80.0,39,11,,,,,,,,,,,,
Iraq,43,81.0,29,19,34.0,65.0,23.0,13.0,39.0,78.0,26.0,14.0,37.0,73.0,29.0,10.0
Cyprus,43,60.0,42,26,41.0,53.0,44.0,25.0,32.0,49.0,30.0,18.0,40.0,63.0,35.0,22.0
Tajikistan,42,59.0,32,36,36.0,49.0,19.0,39.0,45.0,70.0,16.0,49.0,39.0,60.0,15.0,43.0
Ghana,42,62.0,30,36,38.0,58.0,25.0,30.0,47.0,65.0,44.0,32.0,43.0,61.0,35.0,33.0
Israel,42,50.0,53,23,39.0,43.0,51.0,22.0,28.0,40.0,33.0,12.0,37.0,51.0,39.0,21.0
Belgium,41,51.0,45,27,36.0,44.0,39.0,25.0,21.0,25.0,23.0,15.0,,,,
