Country,2018,2019,2021,2022
Indonesia,78,69.0,83.0,84.0
Australia,71,68.0,61.0,64.0
New Zealand,68,65.0,51.0,61.0
United States of America,61,61.0,,61.0
Ireland,64,69.0,45.0,59.0
United Kingdom of Great Britain and Northern Ireland,68,71.0,59.0,65.0
Singapore,58,48.0,,52.0
Kenya,46,38.0,49.0,55.0
Myanmar,88,81.0,71.0,73.0
Bahrain,53,,51.0,
Netherlands,66,71.0,56.0,68.0
United Arab Emirates,62,52.0,47.0,56.0
Norway,65,,49.0,59.0
Haiti,54,45.0,,
Canada,56,63.0,44.0,59.0
Nigeria,36,27.0,33.0,29.0
Iceland,65,,56.0,67.0
Malta,64,71.0,39.0,64.0
Liberia,14,12.0,,
Sierra Leone,23,21.0,,27.0
Zambia,35,22.0,26.0,35.0
Germany,55,49.0,34.0,48.0
Trinidad and Tobago,37,,,
Denmark,56,58.0,46.0,55.0
Mauritius,42,,30.0,33.0
Switzerland,60,56.0,36.0,45.0
Sri Lanka,39,50.0,26.0,30.0
Libya,28,,,
Iran (Islamic Republic of),53,48.0,45.0,49.0
Hong Kong,55,,34.0,44.0
Gambia,28,,,
Austria,54,53.0,41.0,57.0
Kuwait,39,,,
Iraq,29,23.0,26.0,29.0
Cyprus,42,44.0,30.0,35.0
Tajikistan,32,19.0,16.0,15.0
Ghana,30,25.0,44.0,35.0
Israel,53,51.0,33.0,39.0
Belgium,45,39.0,23.0,
South Africa,17,18.0,28.0,16.0
Luxembourg,50,51.0,,
Sweden,57,55.0,49.0,58.0
Turkmenistan,37,32.0,,
Finland,39,42.0,28.0,37.0
Mongolia,41,40.0,44.0,52.0
Honduras,31,28.0,,36.0
Slovenia,35,36.0,29.0,42.0
South Sudan,29,,,
Dominican Republic,20,25.0,20.0,25.0
Uganda,23,22.0,32.0,27.0
Saudi Arabia,26,28.0,28.0,29.0
Nepal,33,30.0,35.0,36.0
Uzbekistan,38,35.0,46.0,45.0
Spain,35,30.0,26.0,31.0
Kyrgyzstan,38,28.0,34.0,44.0
Jamaica,15,,13.0,20.0
Malawi,15,21.0,,14.0
"Congo, Democratic Republic of the",19,,,
Paraguay,28,34.0,37.0,33.0
"Korea, Republic of",40,34.0,28.0,
Chile,33,44.0,38.0,30.0
Thailand,53,71.0,60.0,62.0
Costa Rica,25,31.0,20.0,32.0
Cameroon,18,19.0,26.0,19.0
"Taiwan, Province of China",33,,,
Guatemala,21,32.0,,
Kosovo,40,39.0,59.0,56.0
Nicaragua,26,28.0,28.0,27.0
Italy,35,38.0,23.0,30.0
Central African Republic,18,,,
Guinea,22,21.0,,35.0
Niger,10,9.0,,
France,27,27.0,22.0,30.0
Namibia,10,,17.0,13.0
Bangladesh,23,16.0,22.0,
Jordan,13,18.0,13.0,14.0
Zimbabwe,10,10.0,18.0,10.0
Uruguay,25,26.0,25.0,30.0
Panama,20,32.0,,22.0
Mozambique,11,,,18.0
Colombia,15,22.0,22.0,25.0
Ukraine,29,18.0,43.0,47.0
Burkina Faso,11,13.0,,24.0
Portugal,20,20.0,13.0,17.0
"Tanzania, United Republic of",30,,,
Lebanon,24,33.0,17.0,14.0
Bolivia (Plurinational State of),15,22.0,22.0,22.0
Senegal,16,13.0,16.0,24.0
Slovakia,31,28.0,29.0,42.0
Philippines,13,24.0,16.0,26.0
Bosnia and Herzegovina,40,,,60.0
Pakistan,27,32.0,24.0,25.0
Algeria,13,,16.0,18.0
Mali,11,12.0,11.0,18.0
Argentina,16,18.0,21.0,33.0
Lesotho,5,,,
Kazakhstan,32,21.0,29.0,39.0
Botswana,8,13.0,,
Ethiopia,17,19.0,36.0,
"Moldova, Republic of",24,20.0,,
Madagascar,12,11.0,,
Peru,15,18.0,21.0,22.0
Chad,16,16.0,,
Romania,20,20.0,21.0,18.0
Rwanda,22,17.0,,
Morocco,5,18.0,3.0,7.0
Benin,13,13.0,12.0,19.0
Egypt,14,16.0,18.0,7.0
Venezuela (Bolivarian Republic of),11,13.0,13.0,22.0
Albania,28,21.0,31.0,36.0
Estonia,27,20.0,29.0,43.0
Russian Federation,21,12.0,28.0,42.0
Côte d'Ivoire,12,,,
Poland,24,28.0,36.0,50.0
Gabon,9,12.0,12.0,11.0
Mexico,13,20.0,21.0,30.0
Congo,8,11.0,19.0,
Montenegro,25,20.0,39.0,
Togo,11,,,22.0
Georgia,6,6.0,9.0,3.0
Ecuador,13,18.0,13.0,21.0
Hungary,22,20.0,25.0,33.0
Belarus,21,18.0,,
Brazil,14,22.0,26.0,41.0
Armenia,15,10.0,,16.0
India,20,24.0,36.0,31.0
Czechia,21,22.0,25.0,55.0
Bulgaria,18,16.0,34.0,34.0
El Salvador,10,13.0,15.0,20.0
Japan,18,23.0,12.0,18.0
Serbia,24,22.0,47.0,60.0
North Macedonia,26,,,
Türkiye,12,,25.0,33.0
Croatia,25,22.0,29.0,37.0
Mauritania,8,19.0,,
Lao People's Democratic Republic,33,,,
Tunisia,7,10.0,8.0,9.0
Afghanistan,6,25.0,,7.0
Latvia,21,25.0,29.0,27.0
Lithuania,19,12.0,25.0,27.0
Azerbaijan,8,14.0,,
Cambodia,30,40.0,28.0,24.0
"Palestine, State of",7,,,
China,14,11.0,22.0,35.0
Greece,7,7.0,12.0,21.0
Yemen,2,6.0,,
