Country,year,CAF,Bottom_Middle_Top_Third
Indonesia,2018,59,Top
Australia,2018,59,Top
New Zealand,2018,58,Top
United States of America,2018,58,Top
Ireland,2018,56,Top
United Kingdom of Great Britain and Northern Ireland,2018,55,Top
Singapore,2018,54,Top
Kenya,2018,54,Top
Myanmar,2018,54,Top
Bahrain,2018,53,Top
Netherlands,2018,51,Top
United Arab Emirates,2018,51,Top
Norway,2018,50,Top
Haiti,2018,49,Top
Canada,2018,49,Top
Nigeria,2018,48,Top
Iceland,2018,48,Top
Malta,2018,47,Top
Liberia,2018,47,Top
Sierra Leone,2018,47,Top
Zambia,2018,46,Top
Germany,2018,46,Top
Trinidad and Tobago,2018,46,Top
Denmark,2018,46,Top
Mauritius,2018,46,Top
Switzerland,2018,45,Top
Sri Lanka,2018,45,Top
Libya,2018,45,Top
Iran (Islamic Republic of),2018,45,Top
Hong Kong,2018,44,Top
Gambia,2018,44,Top
Austria,2018,44,Top
Kuwait,2018,43,Top
Iraq,2018,43,Top
Cyprus,2018,43,Top
Tajikistan,2018,42,Top
Ghana,2018,42,Top
Israel,2018,42,Top
Belgium,2018,41,Top
South Africa,2018,41,Top
Luxembourg,2018,41,Top
Sweden,2018,41,Top
Turkmenistan,2018,40,Top
Finland,2018,40,Top
Mongolia,2018,39,Top
Honduras,2018,39,Top
Slovenia,2018,39,Top
South Sudan,2018,39,Top
Dominican Republic,2018,39,Top
Uganda,2018,39,Middle
Saudi Arabia,2018,37,Middle
Nepal,2018,37,Middle
Uzbekistan,2018,36,Middle
Spain,2018,36,Middle
Kyrgyzstan,2018,36,Middle
Jamaica,2018,36,Middle
Malawi,2018,35,Middle
"Congo, Democratic Republic of the",2018,35,Middle
Paraguay,2018,34,Middle
"Korea, Republic of",2018,34,Middle
Chile,2018,34,Middle
Thailand,2018,34,Middle
Costa Rica,2018,34,Middle
Cameroon,2018,34,Middle
"Taiwan, Province of China",2018,34,Middle
Guatemala,2018,34,Middle
Kosovo,2018,33,Middle
Nicaragua,2018,33,Middle
Italy,2018,33,Middle
Central African Republic,2018,32,Middle
Guinea,2018,32,Middle
Niger,2018,32,Middle
France,2018,32,Middle
Namibia,2018,32,Middle
Bangladesh,2018,31,Middle
Jordan,2018,30,Middle
Zimbabwe,2018,30,Middle
Uruguay,2018,30,Middle
Panama,2018,30,Middle
Mozambique,2018,29,Middle
Colombia,2018,29,Middle
Ukraine,2018,29,Middle
Burkina Faso,2018,29,Middle
Portugal,2018,28,Middle
"Tanzania, United Republic of",2018,28,Middle
Lebanon,2018,28,Middle
Bolivia (Plurinational State of),2018,28,Middle
Senegal,2018,28,Middle
Slovakia,2018,28,Middle
Philippines,2018,28,Middle
Bosnia and Herzegovina,2018,28,Middle
Pakistan,2018,28,Middle
Algeria,2018,28,Middle
Mali,2018,28,Middle
Argentina,2018,28,Middle
Lesotho,2018,28,Middle
Kazakhstan,2018,28,Middle
Botswana,2018,27,Bottom
Ethiopia,2018,27,Bottom
"Moldova, Republic of",2018,27,Bottom
Madagascar,2018,27,Bottom
Peru,2018,27,Bottom
Chad,2018,27,Bottom
Romania,2018,27,Bottom
Rwanda,2018,26,Bottom
Morocco,2018,26,Bottom
Benin,2018,26,Bottom
Egypt,2018,26,Bottom
Venezuela (Bolivarian Republic of),2018,26,Bottom
Albania,2018,26,Bottom
Estonia,2018,26,Bottom
Russian Federation,2018,25,Bottom
Côte d'Ivoire,2018,25,Bottom
Poland,2018,24,Bottom
Gabon,2018,24,Bottom
Mexico,2018,24,Bottom
Congo,2018,24,Bottom
Montenegro,2018,24,Bottom
Togo,2018,24,Bottom
Georgia,2018,24,Bottom
Ecuador,2018,24,Bottom
Hungary,2018,23,Bottom
Belarus,2018,23,Bottom
Brazil,2018,23,Bottom
Armenia,2018,23,Bottom
India,2018,22,Bottom
Czechia,2018,22,Bottom
Bulgaria,2018,22,Bottom
El Salvador,2018,22,Bottom
Japan,2018,22,Bottom
Serbia,2018,21,Bottom
North Macedonia,2018,20,Bottom
Türkiye,2018,20,Bottom
Croatia,2018,20,Bottom
Mauritania,2018,20,Bottom
Lao People's Democratic Republic,2018,20,Bottom
Tunisia,2018,20,Bottom
Afghanistan,2018,19,Bottom
Latvia,2018,19,Bottom
Lithuania,2018,19,Bottom
Azerbaijan,2018,18,Bottom
Cambodia,2018,18,Bottom
"Palestine, State of",2018,17,Bottom
China,2018,17,Bottom
Greece,2018,17,Bottom
Yemen,2018,15,Bottom
United States of America,2019,58,Top
Myanmar,2019,58,Top
New Zealand,2019,57,Top
Australia,2019,56,Top
Ireland,2019,56,Top
Canada,2019,55,Top
United Kingdom of Great Britain and Northern Ireland,2019,54,Top
Netherlands,2019,53,Top
Sri Lanka,2019,51,Top
Indonesia,2019,50,Top
Kenya,2019,47,Top
Malta,2019,47,Top
United Arab Emirates,2019,45,Top
Switzerland,2019,45,Top
Austria,2019,45,Top
Liberia,2019,44,Top
Denmark,2019,44,Top
Germany,2019,43,Top
Turkmenistan,2019,43,Top
Nigeria,2019,42,Top
Sierra Leone,2019,42,Top
Thailand,2019,42,Top
