Country,GDPpc_2018,GDPpc_2019,GDPpc_2021,GDPpc_2022,2018,2019,2021,2022
Africa Eastern and Southern,1541.03,1511.31,1557.72,,,,,
Africa Western and Central,1704.14,1777.85,1774.92,,,,,
Arab World,6635.38,6562.97,6412.39,,,,,
Caribbean small states,10250.29,10406.67,9352.28,,,,,
Central Europe and the Baltics,16047.28,16346.56,18568.99,,,,,
Early-demographic dividend,3509.75,3538.83,3739.96,,,,,
East Asia & Pacific,11324.0,11494.09,13037.46,,,,,
East Asia & Pacific (excluding high income),7954.76,8177.84,9776.49,,,,,
East Asia & Pacific (IDA & IBRD countries),8042.95,8268.38,9884.68,,,,,
Euro area,40059.18,39195.77,42307.73,,,,,
Europe & Central Asia,25297.68,24914.6,27114.28,,,,,
Europe & Central Asia (excluding high income),8008.26,8136.75,8708.06,,,,,
Europe & Central Asia (IDA & IBRD countries),8876.16,9026.08,9782.54,,,,,
European Union,35753.37,35089.28,38234.13,,,,,
Fragile and conflict affected situations,1826.83,1905.7,1826.4,,,,,
Heavily indebted poor countries (HIPC),987.17,994.9,1057.92,,,,,
High income,44571.43,44774.78,47886.78,,,,,
IBRD only,6387.75,6473.78,7241.96,,,,,
IDA & IBRD total,5110.91,5168.84,5720.32,,,,,
IDA blend,1835.32,1852.22,1857.42,,,,,
IDA only,1133.26,1169.7,1254.27,,,,,
IDA total,1369.26,1399.12,1456.41,,,,,
Late-demographic dividend,9832.14,9974.51,11452.82,,,,,
Latin America & Caribbean,8902.4,8699.46,8340.39,,,,,
Latin America & Caribbean (excluding high income),8357.12,8165.36,7727.16,,,,,
Latin America & the Caribbean (IDA & IBRD countries),8740.52,8519.25,8100.57,,,,,
Least developed countries: UN classification,1077.49,1105.72,1176.98,,,,,
Low & middle income,4933.7,4993.62,5530.44,,,,,
Low income,699.41,720.47,749.76,,,,,
Lower middle income,2335.3,2411.33,2581.86,,,,,
Middle East & North Africa,7704.42,7587.36,7696.87,,,,,
Middle East & North Africa (excluding high income),3604.93,3574.16,3612.25,,,,,
Middle East & North Africa (IDA & IBRD countries),3605.44,3573.16,3611.6,,,,,
Middle income,5415.61,5487.84,6102.0,,,,,
North America,61158.56,63175.74,67514.02,,,,,
OECD members,39306.79,39478.31,42098.65,,,,,
Other small states,14368.93,13799.3,13776.76,,,,,
Pacific island small states,4340.56,4271.58,3798.75,,,,,
Post-demographic dividend,45413.55,45728.1,48916.18,,,,,
Pre-demographic dividend,1438.53,1474.82,1437.21,,,,,
Small states,13015.09,12615.13,12394.93,,,,,
South Asia,1944.01,1987.57,2176.78,,,,,
