ISO3,Year,democracy_eiu,Country,GDP,Region,Regime,Sources
AFG,2021,0.32,Afghanistan,14786861638,South Asia,Authoritarian Regime,
ALB,2021,6.11,Albania,18255787479,Europe & Central Asia,Flawed Democracy,
DZA,2021,3.77,Algeria,1.63E+11,Middle East & North Africa,Authoritarian Regime,
AGO,2021,3.37,Angola,67404287260,Sub-Saharan Africa,Authoritarian Regime,
ARG,2021,6.81,Argentina,4.87E+11,Latin America & Caribbean,Flawed Democracy,
ARM,2021,5.49,Armenia,13861409969,Europe & Central Asia,Hybrid Regime,
AUS,2021,8.9,Australia,1.55E+12,East Asia & Pacific,Full Democracy,
AUT,2021,8.07,Austria,4.80E+11,Europe & Central Asia,Full Democracy,
AZE,2021,2.68,Azerbaijan,54622176471,Europe & Central Asia,Authoritarian Regime,
BHR,2021,2.52,Bahrain,38868663032,Middle East & North Africa,Authoritarian Regime,
BGD,2021,5.99,Bangladesh,4.16E+11,South Asia,Hybrid Regime,
BLR,2021,2.41,Belarus,68205380707,Europe & Central Asia,Authoritarian Regime,
BEL,2021,7.51,Belgium,5.94E+11,Europe & Central Asia,Flawed Democracy,
BEN,2021,4.19,Benin,17144918952,Sub-Saharan Africa,Hybrid Regime,
BTN,2021,5.71,Bhutan,2539552985,South Asia,Hybrid Regime,
BOL,2021,4.65,Bolivia (Plurinational State of),40408208528,Latin America & Caribbean,Hybrid Regime,
BIH,2021,5.04,Bosnia and Herzegovina,23365361635,Europe & Central Asia,Hybrid Regime,
BWA,2021,7.73,Botswana,17614791266,Sub-Saharan Africa,Flawed Democracy,
BRA,2021,6.86,Brazil,1.61E+12,Latin America & Caribbean,Flawed Democracy,
BGR,2021,6.64,Bulgaria,84056312734,Europe & Central Asia,Flawed Democracy,
BFA,2021,3.84,Burkina Faso,19737615114,Sub-Saharan Africa,Authoritarian Regime,
BDI,2021,2.13,Burundi,2779813489,Sub-Saharan Africa,Authoritarian Regime,
KHM,2021,2.9,Cambodia,26961061120,East Asia & Pacific,Authoritarian Regime,
