Country,CAF_2022,2022
Indonesia,68,Islam
Kenya,61,Christianity
United States of America,59,Christianity
Australia,55,Christianity
New Zealand,54,Christianity
Myanmar,52,Buddhism
Sierra Leone,51,Islam
Canada,51,Christianity
Zambia,50,Christianity
Ukraine,49,Christianity
Ireland,49,Christianity
Thailand,48,Buddhism
Czech Republic,48,Christianity
Nigeria,48,Islam
United Arab Emirates,47,Islam
Poland,47,Christianity
United Kingdom,47,Christianity
Brazil,47,Christianity
Guinea,47,Islam
Philippines,47,Christianity
Argentina,47,Christianity
Uganda,46,Christianity
Iceland,46,Christianity
Denmark,46,Christianity
Mongolia,46,Buddhism
Honduras,46,Christianity
Serbia,46,Christianity
Jamaica,46,Christianity
Netherlands,46,Christianity
Russian Federation,46,Christianity
Singapore,45,Buddhism
Norway,45,Christianity
Austria,45,Christianity
North Macedonia,45,Christianity
Malta,45,Christianity
Venezuela,45,Christianity
Mexico,44,Christianity
Dominican Republic,44,Christianity
Paraguay,44,Christianity
Sri Lanka,44,Buddhist
Kyrgyzstan,44,Islam
Bosnia and Herzegovina,44,Islam
Costa Rica,44,Christianity
Kosovo,43,
Bolivia,43,Christianity
Ghana,43,Christianity
Vietnam,43,
Iran,43,
China,42,Buddhism
Sweden,42,Christianity
Colombia,42,Christianity
Ecuador,42,Christianity
Slovakia,41,Christianity
Bulgaria,41,Christianity
Germany,41,Christianity
Nepal,40,Hinduism
India,40,Hindu
Nicaragua,40,Christianity
Uruguay,40,Christianity
Cyprus,40,Christianity
Senegal,40,Islam
Hungary,40,Christianity
Turkey,40,Islam
Estonia,40,Christianity
Burkina Faso,39,Islam
Tajikistan,39,Islam
Malawi,39,Christianity
Peru,39,Christianity
Slovenia,39,Christianity
Uzbekistan,38,Islam
Chile,38,Christianity
Congo Brazzaville,38,
Mali,38,Islam
Finland,37,Christianity
Iraq,37,Islam
Switzerland,37,Christianity
Cameroon,37,Christianity
Israel,37,Judaism
Mauritius,37,Hindu
Cote d'Ivoire,37,
Hong Kong,37,
Croatia,37,Christianity
Lithuania,37,Christianity
Panama,36,Christianity
Saudi Arabia,36,Islam
El Salvador,36,Christianity
South Africa,35,Christianity
South Korea,35,
Namibia,35,Christianity
"Moldova, Republic of",34,
Taiwan,34,
Togo,34,Christianity
Kazakhstan,34,Islam
Mozambique,34,Christianity
Gabon,34,Christianity
Albania,34,Islam
Tanzania,33,
Benin,32,Christianity
Spain,32,Christianity
France,32,Christianity
Jordan,32,Islam
Greece,32,Christianity
Morocco,31,Islam
Georgia,31,Christianity
Zimbabwe,31,Christianity
Romania,30,Christianity
Algeria,30,Islam
Pakistan,29,Islam
Italy,29,Christianity
Armenia,29,Christianity
Latvia,29,Christianity
Tunisia,28,Muslim
"Lao Peoples Democratic Republic
Democratic Republic",27,
Portugal,26,Christianity
Lebanon,24,Islam
Egypt,23,Islam
Afghanistan,21,Islam
Japan,20,Other
Cambodia,19,Buddhism
