Country,2018,2019,2021,2022,CAF_2018,CAF_2019,CAF_2021,CAF_2022
Burundi,15.1,15.3,15.6,17,,,,
Comoros,19.3,19.6,20.1,20,,,,
Djibouti,23.0,23.2,23.7,27,,,,
Eritrea,17.6,17.8,18.2,19,,,,
Ethiopia,17.9,18.1,18.5,19,27.0,26.0,44.0,
Kenya,18.5,18.7,19.2,20,54.0,47.0,58.0,61.0
Madagascar,18.4,18.6,19.0,20,27.0,21.0,,
Malawi,16.2,16.4,16.8,18,35.0,38.0,,39.0
Mauritius,35.6,36.0,36.8,37,46.0,,34.0,37.0
Mayotte,16.6,16.5,16.5,20,,,,
Mozambique,16.5,16.6,16.8,18,29.0,,,34.0
Réunion,33.4,33.6,33.9,36,,,,
Rwanda,18.5,18.7,19.0,20,26.0,21.0,,
Seychelles,31.7,31.9,32.5,34,,,,
Somalia,15.1,15.1,15.2,17,,,,
South Sudan,15.3,15.4,16.1,19,39.0,,,
Uganda,15.3,15.5,15.9,17,39.0,38.0,46.0,46.0
"Tanzania, United Republic of",16.5,16.6,16.8,,,,,
Zambia,16.4,16.6,16.9,18,46.0,39.0,43.0,50.0
Zimbabwe,17.5,17.7,18.1,19,30.0,29.0,37.0,31.0
Angola,16.1,16.1,16.2,17,,,,
Cameroon,17.3,17.3,17.5,19,34.0,33.0,43.0,37.0
Central African Republic,14.5,14.6,14.7,18,32.0,,,
Chad,14.8,14.9,15.0,17,27.0,25.0,,
Congo,18.0,18.0,18.2,19,,,,
"Congo, Democratic Republic of the",15.7,15.6,15.6,,,,,
Equatorial Guinea,20.9,21.0,20.9,22,,,,
Gabon,21.4,21.5,21.6,23,24.0,27.0,26.0,34.0
Sao Tome and Principe,17.9,18.0,18.4,,,,,
Algeria,27.2,27.4,27.8,29,28.0,,31.0,30.0
Egypt,23.5,23.7,23.9,25,26.0,23.0,33.0,23.0
Libya,25.6,25.8,26.3,29,45.0,,,
Morocco,27.6,28.0,28.7,30,26.0,26.0,23.0,31.0
Sudan,18.1,18.2,18.4,20,,,,
Tunisia,30.7,31.1,31.7,33,20.0,24.0,29.0,28.0
Western Sahara,29.8,30.2,30.9,28,,,,
Botswana,22.9,23.1,23.5,24,27.0,30.0,,
Eswatini,20.7,21.0,21.5,21,,,,
Lesotho,21.5,21.7,22.1,24,28.0,,,
Namibia,20.9,21.1,21.3,22,32.0,,37.0,35.0
