,Country,CAF_x,Religiosity,Median_Age,Total_Population,CAF_2018,CAF_2019,CAF_2021,CAF_y
0,Indonesia,68,96,30.0,273523615.0,59.0,50.0,69.0,68.0
1,Australia,55,33,38.0,25499884.0,59.0,56.0,49.0,55.0
2,New Zealand,54,18,38.0,4822233.0,58.0,57.0,47.0,54.0
3,United States of America,59,67,,,,,,
4,Ireland,49,54,38.0,4937786.0,56.0,56.0,40.0,49.0
5,United Kingdom of Great Britain and Northern Ireland,47,25,40.0,67886011.0,55.0,54.0,41.0,47.0
6,Singapore,45,70,,,,,,
7,Kenya,61,94,20.0,53771296.0,54.0,47.0,58.0,61.0
8,Myanmar,52,96,29.0,54409800.0,54.0,58.0,51.0,52.0
9,Netherlands,46,33,43.0,17134872.0,51.0,53.0,37.0,46.0
10,United Arab Emirates,47,76,33.0,9890402.0,51.0,45.0,44.0,47.0
11,Norway,45,22,,,,,,
12,Canada,51,22,41.0,37742154.0,49.0,55.0,38.0,51.0
13,Nigeria,48,77,18.0,206139589.0,48.0,42.0,52.0,48.0
14,Malta,45,86,43.0,441543.0,47.0,47.0,31.0,45.0
15,Zambia,50,95,18.0,18383955.0,46.0,39.0,43.0,50.0
16,Germany,41,40,46.0,83783942.0,46.0,43.0,30.0,41.0
17,Denmark,46,19,42.0,5792202.0,46.0,44.0,37.0,46.0
18,Switzerland,37,23,43.0,8654622.0,45.0,45.0,28.0,37.0
19,Sri Lanka,44,97,34.0,21413249.0,45.0,51.0,34.0,44.0
20,Iran (Islamic Republic of),43,78,32.0,83992949.0,45.0,41.0,39.0,43.0
21,Hong Kong,37,24,,,,,,
22,Austria,45,17,43.0,9006398.0,44.0,45.0,34.0,45.0
23,Iraq,37,89,21.0,40222493.0,43.0,34.0,39.0,37.0
24,Cyprus,40,25,37.0,1207359.0,43.0,41.0,32.0,40.0
25,Tajikistan,39,85,22.0,9537645.0,42.0,36.0,45.0,39.0
26,Ghana,43,95,22.0,31072940.0,42.0,38.0,47.0,43.0
27,Israel,37,51,30.0,8655535.0,42.0,39.0,28.0,37.0
28,South Africa,35,85,28.0,59308690.0,41.0,36.0,41.0,35.0
29,Sweden,42,16,41.0,10099265.0,41.0,40.0,34.0,42.0
30,Finland,37,23,43.0,5540720.0,40.0,41.0,31.0,37.0
31,Slovenia,39,47,45.0,2078938.0,39.0,38.0,28.0,39.0
32,Dominican Republic,44,87,28.0,10847910.0,39.0,39.0,39.0,44.0
33,Uganda,46,93,17.0,45741007.0,39.0,38.0,46.0,46.0
34,Saudi Arabia,36,96,32.0,34813871.0,37.0,34.0,35.0,36.0
35,Nepal,40,93,25.0,29136808.0,37.0,33.0,40.0,40.0
36,Uzbekistan,38,55,28.0,33469203.0,36.0,41.0,40.0,38.0
37,Spain,32,49,45.0,46754778.0,36.0,32.0,27.0,32.0
38,Kyrgyzstan,44,72,26.0,6524195.0,36.0,33.0,38.0,44.0
39,Jamaica,46,70,,,,,,
40,Malawi,39,97,,,,,,
41,Paraguay,44,92,26.0,7132538.0,34.0,32.0,41.0,44.0
42,Chile,38,60,35.0,19116201.0,34.0,37.0,39.0,38.0
43,Thailand,48,98,40.0,69799978.0,34.0,42.0,46.0,48.0
44,Costa Rica,44,79,33.0,5094118.0,34.0,38.0,30.0,44.0
45,Cameroon,37,96,19.0,26545863.0,34.0,33.0,43.0,37.0
46,Nicaragua,40,70,26.0,6624554.0,33.0,30.0,37.0,40.0
47,Italy,29,72,47.0,60461826.0,33.0,33.0,22.0,29.0
48,Guinea,47,96,,,,,,
49,France,32,30,42.0,65273511.0,32.0,30.0,25.0,32.0
50,Namibia,35,92,,,,,,
51,Jordan,32,96,24.0,10203134.0,30.0,25.0,26.0,32.0
52,Zimbabwe,31,88,19.0,14862924.0,30.0,29.0,37.0,31.0
53,Uruguay,40,40,36.0,3473730.0,30.0,30.0,32.0,40.0
54,Panama,36,88,,,,,,
55,Mozambique,34,86,,,,,,
56,Colombia,42,83,31.0,50882891.0,29.0,35.0,35.0,42.0
57,Ukraine,49,46,41.0,43733762.0,29.0,24.0,43.0,49.0
58,Burkina Faso,39,88,,,,,,
59,Portugal,26,72,46.0,10196709.0,28.0,25.0,20.0,26.0
60,Lebanon,24,87,30.0,6825445.0,28.0,30.0,24.0,24.0
61,Bolivia (Plurinational State of),43,89,26.0,11673021.0,28.0,31.0,35.0,43.0
62,Senegal,40,96,19.0,16743927.0,28.0,28.0,35.0,40.0
63,Slovakia,41,47,41.0,5459642.0,28.0,25.0,32.0,41.0
64,Philippines,47,77,26.0,109581078.0,28.0,39.0,33.0,47.0
65,Bosnia and Herzegovina,44,75,,,,,,
