quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,_merge,itemName,Monthly_Price_Change_%
201701,210212,1.544694,1.9,1.35,0.95,348,01/01/2017,2017-01-01,115625,2017,1,1,Matched (3),1,-1.167027256
201702,210212,1.526667,1.9,1.35,0.99,349,01/02/2017,2017-02-01,114063,2017,2,1,Matched (3),1,2.058602171
201703,210212,1.558095,1.9,1.35,0.99,350,01/03/2017,2017-03-01,115516,2017,3,1,Matched (3),1,-0.829666997
201704,210212,1.545168,1.9,1.35,0.99,351,01/04/2017,2017-04-01,116889,2017,4,2,Matched (3),1,2.428020772
201705,210212,1.582685,1.9,1.39,0.99,352,01/05/2017,2017-05-01,117233,2017,5,2,Matched (3),1,1.068247946
201706,210212,1.599592,1.9,1.39,0.99,353,01/06/2017,2017-06-01,117390,2017,6,2,Matched (3),1,0.497564379
201707,210212,1.607551,1.9,1.39,0.99,354,01/07/2017,2017-07-01,117692,2017,7,3,Matched (3),1,0.931976653
201708,210212,1.622533,1.9,1.39,0.99,355,01/08/2017,2017-08-01,117018,2017,8,3,Matched (3),1,-2.338565687
201709,210212,1.584589,1.9,1.39,0.95,356,01/09/2017,2017-09-01,117013,2017,9,3,Matched (3),1,-3.15816909
201710,210212,1.534545,1.9,1.35,0.95,357,01/10/2017,2017-10-01,116488,2017,10,4,Matched (3),1,7.010286437
201711,210212,1.642121,1.9,1.42,1.07,358,01/11/2017,2017-11-01,116285,2017,11,4,Matched (3),1,-0.307711795
201712,210212,1.637068,1.9,1.39,1.07,359,01/12/2017,2017-12-01,117146,2017,12,4,Matched (3),1,-2.889434037
201801,210212,1.589766,1.8,1.39,1.07,360,01/01/2018,2018-01-01,116458,2018,1,1,Matched (3),1,-2.082004521
201802,210212,1.556667,2,1.39,1.05,361,01/02/2018,2018-02-01,122581,2018,2,1,Matched (3),1,0.269550263
201803,210212,1.560863,2,1.39,1,362,01/03/2018,2018-03-01,125211,2018,3,1,Matched (3),1,4.211516321
201804,210212,1.626599,2,1.45,1.07,363,01/04/2018,2018-04-01,126219,2018,4,2,Matched (3),1,-2.961024813
201805,210212,1.578435,2,1.49,1.07,364,01/05/2018,2018-05-01,126941,2018,5,2,Matched (3),1,4.161527082
201806,210212,1.644122,2,1.49,1.07,365,01/06/2018,2018-06-01,126695,2018,6,2,Matched (3),1,-1.171385092
201807,210212,1.624863,2,1.42,1.07,366,01/07/2018,2018-07-01,124520,2018,7,3,Matched (3),1,-1.883604956
201808,210212,1.594257,2,1.495,1.07,367,01/08/2018,2018-08-01,124079,2018,8,3,Matched (3),1,0.952857663
201809,210212,1.609448,2,1.49,1.07,368,01/09/2018,2018-09-01,124265,2018,9,3,Matched (3),1,-0.715711225
201810,210212,1.597929,1.995,1.4,1.1,369,01/10/2018,2018-10-01,124191,2018,10,4,Matched (3),1,3.467237906
201811,210212,1.653333,2,1.5,1.07,370,01/11/2018,2018-11-01,123289,2018,11,4,Matched (3),1,-0.651048518
201812,210212,1.642569,2,1.545,1.1,371,01/12/2018,2018-12-01,125381,2018,12,4,Matched (3),1,2.78758457
201901,210212,1.688357,2,1.5,1.2,372,01/01/2019,2019-01-01,125531,2019,1,1,Matched (3),1,-0.538215555
201902,210212,1.67927,2,1.5,1.3,373,01/02/2019,2019-02-01,124018,2019,2,1,Matched (3),1,-1.540490809
201903,210212,1.653401,2,1.5,1.25,374,01/03/2019,2019-03-01,127885,2019,3,1,Matched (3),1,-0.702370447
201904,210212,1.641788,2,1.5,1.25,375,01/04/2019,2019-04-01,128853,2019,4,2,Matched (3),1,1.975894573
201905,210212,1.674228,2,1.5,1.25,376,01/05/2019,2019-05-01,128682,2019,5,2,Matched (3),1,-2.431807376
201906,210212,1.633514,2,1.5,1.25,377,01/06/2019,2019-06-01,129075,2019,6,2,Matched (3),1,-0.579119616
201907,210212,1.624054,2,1.55,1.25,378,01/07/2019,2019-07-01,128486,2019,7,3,Matched (3),1,2.552008739
201908,210212,1.6655,2,1.54,1.16,379,01/08/2019,2019-08-01,127479,2019,8,3,Matched (3),1,0.841429
201909,210212,1.679514,2,1.55,1.12,380,01/09/2019,2019-09-01,127702,2019,9,3,Matched (3),1,-2.802358301
201910,210212,1.632448,2,1.5,1.12,381,01/10/2019,2019-10-01,127514,2019,10,4,Matched (3),1,2.494658329
201911,210212,1.673172,2,1.55,1.15,382,01/11/2019,2019-11-01,127910,2019,11,4,Matched (3),1,-0.488413624
201912,210212,1.665,2,1.55,1.15,383,01/12/2019,2019-12-01,127767,2019,12,4,Matched (3),1,-0.304264264
202001,210212,1.659934,2,1.54,1.15,384,01/01/2020,2020-01-01,127661,2020,1,1,Matched (3),1,-1.634643305
202002,210212,1.6328,2,1.47,1.15,385,01/02/2020,2020-02-01,126570,2020,2,1,Matched (3),1,2.494426752
202003,210212,1.673529,2,1.5,1.4,386,01/03/2020,2020-03-01,118933,2020,3,1,Matched (3),1,9.264374863
202004,210212,1.828571,2,2,1.45,387,01/04/2020,2020-04-01,74251,2020,4,2,Matched (3),1,18.48607465
202005,210212,2.166602,2.65,2,1.6,388,01/05/2020,2020-05-01,85259,2020,5,2,Matched (3),1,22.744925
202006,210212,2.659394,3.25,2,1.6,389,01/06/2020,2020-06-01,94010,2020,6,2,Matched (3),1,-15.45457349
202007,210212,2.248396,3,2,1.6,390,01/07/2020,2020-07-01,102371,2020,7,3,Matched (3),1,-25.42252343
202008,210212,1.676797,1.8,1.5,1.135,391,01/08/2020,2020-08-01,112987,2020,8,3,Matched (3),1,1.630370283
202009,210212,1.704135,1.99,1.6,1.15,392,01/09/2020,2020-09-01,116062,2020,9,3,Matched (3),1,2.673497111
