item_id,dateISO,regionDesc,p_mean_2020,p_mean_2019,p_75,p_median,p_25
210212,01/06/2020,East,3.2075,1.795714,4,3.25,2.325
210212,01/06/2020,East Midlands (England),2.55625,1.431,4,1.825,1.525
210212,01/06/2020,London,2.411667,1.587222,2.895,2,1.6
210212,01/06/2020,North East (England),3.49,2.12,4.63,3.88,2.35
210212,01/06/2020,North West (England),2.524167,1.517647,3.25,2.3,1.37
210212,01/06/2020,Northern Ireland,2.355,1.358,3.375,1.8,1.335
210212,01/06/2020,Scotland,2.85,1.449167,4.75,2,1.6
210212,01/06/2020,South East (England),2.790909,1.671429,3.25,2.7,1.6
210212,01/06/2020,South West (England),2.416667,1.682308,3.25,1.6,1.6
210212,01/06/2020,Wales,2.606,2.091667,4.51,1.6,1.1
210212,01/06/2020,West Midlands (England),2.70625,1.678333,4,2.325,1.525
210212,01/06/2020,Yorkshire and The Humber,2.092857,1.481538,2,1.65,1.55
