item_id,dateISO,regionDesc,p_mean,p_75,p_median,p_25
210212,01/06/2020,East,3.2075,4,3.25,2.325
210212,01/06/2020,East Midlands (England),2.55625,4,1.825,1.525
210212,01/06/2020,London,2.411667,2.895,2,1.6
210212,01/06/2020,North East (England),3.49,4.63,3.88,2.35
210212,01/06/2020,North West (England),2.524167,3.25,2.3,1.37
210212,01/06/2020,Northern Ireland,2.355,3.375,1.8,1.335
210212,01/06/2020,Scotland,2.85,4.75,2,1.6
210212,01/06/2020,South East (England),2.790909,3.25,2.7,1.6
210212,01/06/2020,South West (England),2.416667,3.25,1.6,1.6
210212,01/06/2020,Wales,2.606,4.51,1.6,1.1
210212,01/06/2020,West Midlands (England),2.70625,4,2.325,1.525
210212,01/06/2020,Yorkshire and The Humber,2.092857,2,1.65,1.55
