item_id,dateISO,regionDesc,p_mean,p_75,p_median,p_25
210212,01/06/2019,East,1.795714,4,3.25,2.325
210212,01/06/2019,East Midlands (England),1.431,4,1.825,1.525
210212,01/06/2019,London,1.587222,2.895,2,1.6
210212,01/06/2019,North East (England),2.12,4.63,3.88,2.35
210212,01/06/2019,North West (England),1.517647,3.25,2.3,1.37
210212,01/06/2019,Northern Ireland,1.358,3.375,1.8,1.335
210212,01/06/2019,Scotland,1.449167,4.75,2,1.6
210212,01/06/2019,South East (England),1.671429,3.25,2.7,1.6
210212,01/06/2019,South West (England),1.682308,3.25,1.6,1.6
210212,01/06/2019,Wales,2.091667,4.51,1.6,1.1
210212,01/06/2019,West Midlands (England),1.678333,4,2.325,1.525
210212,01/06/2019,Yorkshire and The Humber,1.481538,2,1.65,1.55
