Year,Type,Value,,,,,,,,,,,,,
1962,Revenues,99.7,,,,,,,,,,,,,
1963,Revenues,106.6,,,,,,,,,,,,,
1964,Revenues,112.6,,,,,,,,,,,,,
1965,Revenues,116.8,,,,,,,,,,,,,
1966,Revenues,130.8,,,,,,,,,,,,,
1967,Revenues,148.8,,,,,,,,,,,,,
1968,Revenues,153.0,,,,,,,,,,,,,
1969,Revenues,186.9,,,,,,,,,,,,,
1970,Revenues,192.8,,,,,,,,,,,,,
1971,Revenues,187.1,,,,,,,,,,,,,
1972,Revenues,207.3,,,,,,,,,,,,,
1973,Revenues,230.8,,,,,,,,,,,,,
1974,Revenues,263.2,,,,,,,,,,,,,
1975,Revenues,279.1,,,,,,,,,,,,,
1976,Revenues,298.1,,,,,,,,,,,,,
1977,Revenues,355.6,,,,,,,,,,,,,
1978,Revenues,399.6,,,,,,,,,,,,,
1979,Revenues,463.3,,,,,,,,,,,,,
1980,Revenues,517.1,,,,,,,,,,,,,
1981,Revenues,599.3,,,,,,,,,,,,,
1982,Revenues,617.8,,,,,,,,,,,,,
1983,Revenues,600.6,,,,,,,,,,,,,
1984,Revenues,666.4,,,,,,,,,,,,,
1985,Revenues,734.0,,,,,,,,,,,,,
1986,Revenues,769.2,,,,,,,,,,,,,
1987,Revenues,854.3,,,,,,,,,,,,,
1988,Revenues,909.2,,,,,,,,,,,,,
1989,Revenues,991.1,,,,,,,,,,,,,
1990,Revenues,"1,032.0",,,,,,,,,,,,,
1991,Revenues,"1,055.0",,,,,,,,,,,,,
1992,Revenues,"1,091.2",,,,,,,,,,,,,
1993,Revenues,"1,154.3",,,,,,,,,,,,,
1994,Revenues,"1,258.6",,,,,,,,,,,,,
1995,Revenues,"1,351.8",,,,,,,,,,,,,
1996,Revenues,"1,453.1",,,,,,,,,,,,,
1997,Revenues,"1,579.2",,,,,,,,,,,,,
1998,Revenues,"1,721.7",,,,,,,,,,,,,
1999,Revenues,"1,827.5",,,,,,,,,,,,,
2000,Revenues,"2,025.2",,,,,,,,,,,,,
2001,Revenues,"1,991.1",,,,,,,,,,,,,
2002,Revenues,"1,853.1",,,,,,,,,,,,,
2003,Revenues,"1,782.3",,,,,,,,,,,,,
2004,Revenues,"1,880.1",,,,,,,,,,,,,
2005,Revenues,"2,153.6",,,,,,,,,,,,,
2006,Revenues,"2,406.9",,,,,,,,,,,,,
2007,Revenues,"2,568.0",,,,,,,,,,,,,
2008,Revenues,"2,524.0",,,,,,,,,,,,,
2009,Revenues,"2,105.0",,,,,,,,,,,,,
2010,Revenues,"2,162.7",,,,,,,,,,,,,
2011,Revenues,"2,303.5",,,,,,,,,,,,,
2012,Revenues,"2,450.0",,,,,,,,,,,,,
2013,Revenues,"2,775.1",,,,,,,,,,,,,
2014,Revenues,"3,021.5",,,,,,,,,,,,,
2015,Revenues,"3,249.9",,,,,,,,,,,,,
