Country,2018,2019,2021,2022,CAF_2018,CAF_2019,CAF_2021,CAF_2022
Burundi,  11 291,  11 696,  12 387,11890784.0,,,,
Comoros,   769,   784,   814,869601.0,,,,
Djibouti,  1 049,  1 066,  1 098,988000.0,,,,
Eritrea,  3 417,  3 474,  3 588,3546421.0,,,,
Ethiopia,  109 656,  112 603,  118 743,114963588.0,27.0,26.0,44.0,
Kenya,  49 464,  50 443,  52 511,53771296.0,54.0,47.0,58.0,61.0
Madagascar,  26 506,  27 187,  28 571,27691018.0,27.0,21.0,,
Malawi,  18 122,  18 614,  19 633,19129952.0,35.0,38.0,,39.0
Mauritius,  1 295,  1 296,  1 299,1271768.0,46.0,,34.0,37.0
Mayotte,   277,   289,   311,272815.0,,,,
Mozambique,  28 997,  29 850,  31 636,31255435.0,29.0,,,34.0
Réunion,   937,   945,   962,895312.0,,,,
Rwanda,  12 381,  12 683,  13 305,12952218.0,26.0,21.0,,
Seychelles,   102,   104,   106,98347.0,,,,
Somalia,  15 132,  15 690,  16 801,15893222.0,,,,
South Sudan,  10 441,  10 350,  10 667,11193725.0,39.0,,,
Uganda,  40 818,  42 212,  45 123,45741007.0,39.0,38.0,46.0,46.0
United Republic of Tanzania,  57 208,  58 973,  62 637,,,,,
Zambia,  17 566,  18 106,  19 201,18383955.0,46.0,39.0,43.0,50.0
Zimbabwe,  14 900,  15 204,  15 834,14862924.0,30.0,29.0,37.0,31.0
Angola,  30 739,  31 808,  33 958,32866272.0,,,,
Cameroon,  24 726,  25 428,  26 845,26545863.0,34.0,33.0,43.0,37.0
Central African Republic,  5 043,  5 147,  5 414,4829767.0,32.0,,,
Chad,  15 334,  15 875,  16 910,16425864.0,27.0,25.0,,
Congo,  5 376,  5 506,  5 769,5518087.0,,,,
Democratic Republic of the Congo,  85 693,  88 482,  94 374,,,,,
Equatorial Guinea,  1 476,  1 528,  1 614,1402985.0,,,,
Gabon,  2 166,  2 218,  2 317,2225734.0,24.0,27.0,26.0,34.0
Sao Tome and Principe,   210,   213,   221,,,,,
Algeria,  41 534,  42 320,  43 812,43851044.0,28.0,,31.0,30.0
Egypt,  102 783,  104 699,  108 392,102334404.0,26.0,23.0,33.0,23.0
Libya,  6 429,  6 526,  6 696,6871292.0,45.0,,,
Morocco,  35 735,  36 120,  36 889,36910560.0,26.0,26.0,23.0,31.0
Sudan,  41 362,  42 636,  45 053,43849260.0,,,,
Tunisia,  11 874,  11 992,  12 217,11818619.0,20.0,24.0,29.0,28.0
Western Sahara,   526,   539,   561,597339.0,,,,
Botswana,  2 427,  2 476,  2 569,2351627.0,27.0,30.0,,
Eswatini,  1 156,  1 165,  1 187,1160164.0,,,,
Lesotho,  2 184,  2 212,  2 269,2142249.0,28.0,,,
Namibia,  2 385,  2 426,  2 511,2540905.0,32.0,,37.0,35.0
South Africa,  56 971,  57 708,  59 138,59308690.0,41.0,36.0,41.0,35.0
Benin,  11 767,  12 114,  12 819,12123200.0,26.0,23.0,29.0,32.0
Burkina Faso,  20 114,  20 671,  21 813,20903273.0,29.0,25.0,,39.0
Cabo Verde,   568,   574,   585,555987.0,,,,
Côte d'Ivoire,  25 170,  25 818,  27 146,26378274.0,25.0,,,
Gambia,  2 413,  2 477,  2 607,2416668.0,,,,
Ghana,  30 546,  31 195,  32 512,31072940.0,42.0,38.0,47.0,43.0
Guinea,  12 396,  12 713,  13 369,13132795.0,32.0,34.0,,47.0
Guinea-Bissau,  1 902,  1 948,  2 038,1968001.0,,,,
Liberia,  4 842,  4 936,  5 141,5057681.0,47.0,44.0,,
Mali,  19 621,  20 248,  21 561,20250833.0,28.0,24.0,31.0,38.0
Mauritania,  4 215,  4 327,  4 556,4649658.0,20.0,25.0,,
Niger,  22 149,  23 005,  24 786,24206644.0,32.0,24.0,,
Nigeria,  195 947,  200 828,  210 874,206139589.0,48.0,42.0,52.0,48.0
Saint Helena,   5,   5,   5,6077.0,,,,
Senegal,  15 364,  15 786,  16 657,16743927.0,28.0,28.0,35.0,40.0
Sierra Leone,  7 769,  7 953,  8 328,7976983.0,47.0,42.0,,51.0
Togo,  7 949,  8 144,  8 543,8278724.0,24.0,,,34.0
Kazakhstan,  18 429,  18 647,  19 097,18776707.0,28.0,26.0,28.0,34.0
Kyrgyzstan,  6 172,  6 275,  6 477,6524195.0,36.0,33.0,38.0,44.0
Tajikistan,  9 025,  9 231,  9 644,9537645.0,42.0,36.0,45.0,39.0
Turkmenistan,  6 018,  6 112,  6 297,6031200.0,40.0,43.0,,
Uzbekistan,  32 189,  32 710,  33 810,33469203.0,36.0,41.0,40.0,38.0
China, 1 414 409, 1 419 730, 1 425 862,1439323776.0,17.0,16.0,28.0,42.0
"China, Hong Kong SAR",  7 473,  7 490,  7 500,,,,,
"China, Macao SAR",   645,   657,   683,,,,,
"China, Taiwan Province of China",  23 698,  23 755,  23 842,,,,,
Dem. People's Republic of Korea,  25 579,  25 698,  25 922,,,,,
Japan,  126 471,  126 041,  124 947,126476461.0,22.0,23.0,12.0,20.0
Mongolia,  3 130,  3 198,  3 322,3278290.0,39.0,38.0,44.0,46.0
Republic of Korea,  51 604,  51 750,  51 831,,34.0,32.0,22.0,
Afghanistan,  36 161,  37 213,  39 618,38928346.0,19.0,31.0,,21.0
Bangladesh,  162 762,  164 605,  168 415,164689383.0,31.0,26.0,33.0,
Bhutan,   759,   765,   775,771608.0,,,,
India, 1 361 749, 1 376 258, 1 402 808,1380004385.0,22.0,26.0,44.0,40.0
Iran (Islamic Republic of),  85 097,  86 138,  87 590,,,,,
Maldives,   481,   498,   518,540544.0,,,,
Nepal,  28 348,  28 666,  29 698,29136808.0,37.0,33.0,40.0,40.0
Pakistan,  217 989,  221 474,  229 281,220892340.0,28.0,29.0,25.0,29.0
Sri Lanka,  21 545,  21 616,  21 747,21413249.0,45.0,51.0,34.0,44.0
Brunei Darussalam,   432,   436,   444,,,,,
Cambodia,  15 931,  16 119,  16 497,16718965.0,18.0,24.0,28.0,19.0
Indonesia,  265 794,  268 340,  272 890,273523615.0,59.0,50.0,69.0,68.0
Lao People's Democratic Republic,  7 052,  7 158,  7 373,,,,,
Malaysia,  32 194,  32 604,  33 396,32365999.0,,,,
Myanmar,  52 480,  52 852,  53 618,54409800.0,54.0,58.0,51.0,52.0
Philippines,  107 664,  109 474,  113 094,109581078.0,28.0,39.0,33.0,47.0
Singapore,  5 790,  5 839,  5 926,5850342.0,54.0,35.0,,45.0
Thailand,  71 029,  71 226,  71 562,69799978.0,34.0,42.0,46.0,48.0
Timor-Leste,  1 253,  1 271,  1 310,1318445.0,,,,
Viet Nam,  94 479,  95 350,  97 094,,,,,
Armenia,  2 844,  2 829,  2 799,2963243.0,23.0,21.0,,29.0
Azerbaijan,  10 113,  10 192,  10 296,10139177.0,18.0,24.0,,
Bahrain,  1 480,  1 494,  1 461,1701575.0,53.0,,45.0,
Cyprus,  1 214,  1 224,  1 241,1207359.0,43.0,41.0,32.0,40.0
Georgia,  3 772,  3 772,  3 763,3989167.0,24.0,21.0,40.0,31.0
Iraq,  40 097,  41 084,  43 071,40222493.0,43.0,34.0,39.0,37.0
Israel,  8 383,  8 530,  8 829,8655535.0,42.0,39.0,28.0,37.0
Jordan,  10 339,  10 580,  11 040,10203134.0,30.0,25.0,26.0,32.0
Kuwait,  4 221,  4 414,  4 253,4270571.0,43.0,,,
Lebanon,  6 032,  5 869,  5 631,6825445.0,28.0,30.0,24.0,24.0
Oman,  4 586,  4 616,  4 498,5106626.0,,,,
Qatar,  2 748,  2 786,  2 692,2881053.0,,,,
Saudi Arabia,  34 612,  35 425,  35 764,34813871.0,37.0,34.0,35.0,36.0
State of Palestine,  4 754,  4 858,  5 077,5101414.0,,,,
Syrian Arab Republic,  18 956,  19 710,  21 059,,,,,
Türkiye,  82 467,  83 152,  84 459,,,,,
United Arab Emirates,  9 105,  9 176,  9 327,9890402.0,51.0,45.0,44.0,47.0
Yemen,  30 415,  31 166,  32 641,29825964.0,15.0,17.0,,
Belarus,  9 704,  9 687,  9 606,9449323.0,23.0,25.0,,
Bulgaria,  7 150,  7 085,  6 938,6948445.0,22.0,19.0,37.0,41.0
Czechia,  10 533,  10 536,  10 524,,,,,
Hungary,  9 779,  9 773,  9 731,9660351.0,23.0,23.0,31.0,40.0
Poland,  38 534,  38 509,  38 379,37846611.0,24.0,25.0,38.0,47.0
Republic of Moldova,  3 160,  3 124,  3 075,,,,,
Romania,  19 655,  19 559,  19 394,19237691.0,27.0,24.0,28.0,30.0
