State,Population,Type1,Value
Alabama,5039877,Lawful Permanent Residents,2887
Alabama,5039877,Nonimmigrants,49893
Alabama,5039877,Naturalizations,1614
Alabama,5039877,Refugees,0
Alabama,5039877,Asylees,25
Alabama,5039877,Migration,1.08
Alaska,732673,Lawful Permanent Residents,761
Alaska,732673,Nonimmigrants,48380
Alaska,732673,Naturalizations,890
Alaska,732673,Refugees,12
Alaska,732673,Asylees,N/A
Alaska,732673,Migration,6.83
Arizona,7276316,Lawful Permanent Residents,14466
Arizona,7276316,Nonimmigrants,486163
Arizona,7276316,Naturalizations,17512
Arizona,7276316,Refugees,422
Arizona,7276316,Asylees,151
Arizona,7276316,Migration,7.13
Arkansas,,Lawful Permanent Residents,2586
Arkansas,,Nonimmigrants,29548
Arkansas,,Naturalizations,2074
Arkansas,,Refugees,41
Arkansas,,Asylees,12
Arkansas,3025891,Migration,1.13
California,,Lawful Permanent Residents,135181
California,,Nonimmigrants,1859671
California,,Naturalizations,171863
California,,Refugees,986
California,,Asylees,5197
California,39237836,Migration,5.54
Colorado,,Lawful Permanent Residents,10146
Colorado,,Nonimmigrants,167072
Colorado,,Naturalizations,8819
Colorado,,Refugees,265
Colorado,,Asylees,135
Colorado,5812069,Migration,3.21
Connecticut,,Lawful Permanent Residents,8646
Connecticut,,Nonimmigrants,71392
Connecticut,,Naturalizations,11705
Connecticut,,Refugees,59
Connecticut,,Asylees,187
Connecticut,3605597,Migration,2.55
Delaware,,Lawful Permanent Residents,1830
Delaware,,Nonimmigrants,13458
Delaware,,Naturalizations,1808
Delaware,,Refugees,12
Delaware,,Asylees,44
Delaware,1003384,Migration,1.71
District of Columbia,,Lawful Permanent Residents,1915
District of Columbia,,Nonimmigrants,82283
District of Columbia,,Naturalizations,1822
District of Columbia,,Refugees,N/A
District of Columbia,,Asylees,124
District of Columbia,670050,Migration,12.86
Florida,,Lawful Permanent Residents,83227
Florida,,Nonimmigrants,3157503
Florida,,Naturalizations,109235
Florida,,Refugees,222
Florida,,Asylees,852
Florida,21781128,Migration,15.39
Georgia,,Lawful Permanent Residents,20033
Georgia,,Nonimmigrants,274610
Georgia,,Naturalizations,16476
Georgia,,Refugees,368
Georgia,,Asylees,136
Georgia,10799566,Migration,2.89
Hawaii,,Lawful Permanent Residents,2452
Hawaii,,Nonimmigrants,49868
Hawaii,,Naturalizations,3801
Hawaii,,Refugees,0
Hawaii,,Asylees,25
Hawaii,1441553,Migration,3.89
Idaho,,Lawful Permanent Residents,1714
Idaho,,Nonimmigrants,21397
