Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Continent
Afghanistan,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.5,0.49,0.5,0.5,0.5,0.51,0.52,0.52,0.52,0.52,0.52,Asia
Albania,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.48,0.47,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.49,0.47,0.47,0.47,0.49,0.5,0.49,0.51,0.5,0.49,0.48,0.48,0.48,Europe
Algeria,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.59,0.58,0.57,0.57,0.56,0.55,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.5,Africa
Angola,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.66,0.66,0.65,0.64,0.63,0.62,0.61,0.69,0.62,0.63,0.64,0.65,0.66,0.66,0.67,0.68,0.69,0.69,0.69,0.69,Africa
Argentina,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.66,0.67,0.62,0.6,0.59,0.58,0.59,0.59,0.59,0.57,0.55,0.54,0.54,0.56,0.56,0.57,0.58,0.59,0.59,0.59,0.59,South America
Armenia,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.56,0.55,0.54,0.53,0.54,0.53,0.56,0.55,0.48,0.5,0.48,0.54,0.5,0.48,0.48,0.49,0.5,0.51,0.52,0.54,0.54,0.5,0.5,0.5,Asia
Australia,0.42,0.42,0.43,0.42,0.42,0.43,0.43,0.45,0.46,0.44,0.44,0.45,0.45,0.45,0.46,0.45,0.45,0.46,0.46,0.47,0.47,0.46,0.47,0.47,0.47,0.48,0.49,0.48,0.46,0.49,0.48,0.47,0.48,0.49,0.49,0.49,0.49,0.5,0.49,0.49,0.49,0.49,Oceania
Austria,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.45,0.45,0.44,0.45,0.44,0.45,0.46,0.44,0.46,0.47,0.46,0.46,0.43,0.45,0.44,0.43,0.43,0.44,0.44,0.44,0.43,0.43,0.43,0.44,0.44,Europe
Azerbaijan,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.48,0.47,0.48,0.49,0.54,0.56,0.49,0.48,0.47,0.48,0.49,0.48,0.48,0.48,0.47,0.48,0.48,0.48,0.48,0.48,Asia
Bahamas,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66,North America
