Country Name,Country Code,Time,Exports of goods and services (current US$)
Russian Federation,RUS,2021,5.47741E+11
Germany,DEU,2021,2.00425E+12
United Kingdom,GBR,2021,8.60135E+11
France,FRA,2021,8.797E+11
Italy,ITA,2021,6.87469E+11
Spain,ESP,2021,4.97711E+11
Poland,POL,2021,4.10541E+11
Romania,ROU,2021,1.16047E+11
Ukraine,UKR,2021,81532203092
Netherlands,NLD,2021,8.51087E+11
Belgium,BEL,2021,5.12002E+11
Czechia,CZE,2021,2.0492E+11
Greece,GRC,2021,87857673499
Portugal,PRT,2021,1.05025E+11
Sweden,SWE,2021,2.90234E+11
Hungary,HUN,2021,1.48254E+11
Belarus,BLR,2021,49193128989
Austria,AUT,2021,2.66922E+11
Bulgaria,BGR,2021,50597770064
Switzerland,CHE,2021,5.68557E+11
Serbia,SRB,2021,34309399080
Slovak Republic,SVK,2021,1.07816E+11
Denmark,DNK,2021,2.3654E+11
Finland,FIN,2021,1.16469E+11
Estonia,EST,2021,29200476815
Ireland,IRL,2021,6.72266E+11
Croatia,HRV,2021,34869139702
Norway,NOR,2021,2.00543E+11
North Macedonia,MKD,2021,9150765794
Montenegro,MNE,2021,2500533005
Moldova,MDA,2021,4188570116
Liechtenstein,LIE,2021,..
Luxembourg,LUX,2021,1.83928E+11
Lithuania,LTU,2021,52654593275
Bosnia and Herzegovina,BIH,2021,10145797880
Albania,ALB,2021,5590528224
Slovenia,SVN,2021,51392129172
Latvia,LVA,2021,24906145450
Malta,MLT,2021,25515407682
Iceland,ISL,2021,9707035995
Andorra,AND,2021,..
Monaco,MCO,2021,..
San Marino,SMR,2021,..
