Country Name,Country Code,Time,Exports of goods and services (current US$),Exports of goods and services (current US$billion)
Albania,ALB,2021,5590528224,5.59E+00
Andorra,AND,2021,,
Armenia,,2021,4855736546,4.86E+00
Austria,AUT,2021,2.67E+11,2.67E+02
Azerbaijan,,2021,25487647059,2.55E+01
Belarus,BLR,2021,4.92E+10,4.92E+01
Belgium,BEL,2021,5.12E+11,5.12E+02
Bosnia and Herzegovina,BIH,2021,1.01E+10,1.01E+01
Bulgaria,BGR,2021,5.06E+10,5.06E+01
Croatia,HRV,2021,3.49E+10,3.49E+01
Czech Republic,CZE,2021,2.05E+11,2.05E+02
Denmark,DNK,2021,2.37E+11,2.37E+02
Estonia,EST,2021,2.92E+10,2.92E+01
Finland,FIN,2021,1.16E+11,1.16E+02
France,FRA,2021,8.80E+11,8.80E+02
Germany,DEU,2021,2.00E+12,2.00E+03
Greece,GRC,2021,8.79E+10,8.79E+01
Hungary,HUN,2021,1.48E+11,1.48E+02
Iceland,ISL,2021,9707035995,9.71E+00
Ireland,IRL,2021,6.72E+11,6.72E+02
Italy,ITA,2021,6.87E+11,6.87E+02
Latvia,LVA,2021,2.49E+10,2.49E+01
Liechtenstein,LIE,2021,,
Lithuania,LTU,2021,5.27E+10,5.27E+01
Luxembourg,LUX,2021,1.84E+11,1.84E+02
Malta,MLT,2021,2.55E+10,2.55E+01
Republic of Moldova,MDA,2021,4188570116,4.19E+00
Monaco,MCO,2021,,
Montenegro,MNE,2021,2500533005,2.50E+00
Netherlands,NLD,2021,8.51E+11,8.51E+02
The former Yugoslav Republic of Macedonia,MKD,2021,9150765794,9.15E+00
Norway,NOR,2021,2.01E+11,2.01E+02
Poland,POL,2021,4.11E+11,4.11E+02
Portugal,PRT,2021,1.05E+11,1.05E+02
Romania,ROU,2021,1.16E+11,1.16E+02
Russia,RUS,2021,5.48E+11,5.48E+02
San Marino,SMR,2021,,
Serbia,SRB,2021,3.43E+10,3.43E+01
Slovakia,SVK,2021,1.08E+11,1.08E+02
Slovenia,SVN,2021,5.14E+10,5.14E+01
Spain,ESP,2021,4.98E+11,4.98E+02
Sweden,SWE,2021,2.90E+11,2.90E+02
Switzerland,CHE,2021,5.69E+11,5.69E+02
Ukraine,UKR,2021,8.15E+10,8.15E+01
United Kingdom,GBR,2021,8.60E+11,8.60E+02
Cyprus,,2021,2.25E+10,2.25E+01
Georgia,,2021,8.06E+09,8.06E+00
Israel,,2021,1.43E+11,1.43E+02
Faroe Islands,,2021,,
Turkey,,2021,2.89E+11,2.89E+02
Holy See (Vatican City),,2021,,
