Date,Growth Rate,Sector
Jan-01,2.8,Public Sector
Feb-01,2.7,Public Sector
Mar-01,4.1,Public Sector
Apr-01,5.8,Public Sector
May-01,6,Public Sector
Jun-01,5.6,Public Sector
Jul-01,6,Public Sector
Aug-01,6.6,Public Sector
Sep-01,6.1,Public Sector
Oct-01,6.1,Public Sector
Nov-01,5.1,Public Sector
Dec-01,5.3,Public Sector
Jan-02,4.8,Public Sector
Feb-02,4.5,Public Sector
Mar-02,4.4,Public Sector
Apr-02,3.8,Public Sector
May-02,3.7,Public Sector
Jun-02,3.7,Public Sector
Jul-02,4.1,Public Sector
Aug-02,2.2,Public Sector
Sep-02,3.3,Public Sector
Oct-02,3.5,Public Sector
Nov-02,4.2,Public Sector
Dec-02,5.1,Public Sector
Jan-03,4.1,Public Sector
Feb-03,4.2,Public Sector
Mar-03,4.3,Public Sector
Apr-03,4.4,Public Sector
May-03,3.7,Public Sector
Jun-03,4.9,Public Sector
Jul-03,4.6,Public Sector
Aug-03,6.4,Public Sector
Sep-03,5.5,Public Sector
Oct-03,4.9,Public Sector
Nov-03,4.7,Public Sector
Dec-03,4.7,Public Sector
Jan-04,4.4,Public Sector
Feb-04,4.7,Public Sector
Mar-04,4.6,Public Sector
Apr-04,4.6,Public Sector
May-04,4.9,Public Sector
Jun-04,4.2,Public Sector
Jul-04,3.8,Public Sector
Aug-04,3.6,Public Sector
Sep-04,4.1,Public Sector
Oct-04,4.5,Public Sector
Nov-04,4.5,Public Sector
Dec-04,4.2,Public Sector
Jan-05,5,Public Sector
Feb-05,4.3,Public Sector
Mar-05,5.3,Public Sector
Apr-05,5.3,Public Sector
May-05,5.7,Public Sector
Jun-05,5.2,Public Sector
Jul-05,5.6,Public Sector
Aug-05,6.1,Public Sector
Sep-05,5.2,Public Sector
Oct-05,5.2,Public Sector
Nov-05,5.2,Public Sector
Dec-05,4.5,Public Sector
Jan-06,4.7,Public Sector
Feb-06,5.4,Public Sector
Mar-06,3.4,Public Sector
Apr-06,3.7,Public Sector
May-06,3.4,Public Sector
Jun-06,3.7,Public Sector
Jul-06,3.5,Public Sector
Aug-06,2.9,Public Sector
Sep-06,2.8,Public Sector
