Date,Growth Rate,Sector
Jan-16,3.2,Private Sector
Feb-16,1.6,Private Sector
Mar-16,2.7,Private Sector
Apr-16,2.7,Private Sector
May-16,2.6,Private Sector
Jun-16,2.5,Private Sector
Jul-16,2.8,Private Sector
Aug-16,2.1,Private Sector
Sep-16,2.8,Private Sector
Oct-16,3,Private Sector
Nov-16,3.2,Private Sector
Dec-16,1.9,Private Sector
Jan-17,1.8,Private Sector
Feb-17,3.1,Private Sector
Mar-17,2.4,Private Sector
Apr-17,2,Private Sector
May-17,2.1,Private Sector
Jun-17,3.4,Private Sector
Jul-17,1.6,Private Sector
Aug-17,2.6,Private Sector
Sep-17,3.1,Private Sector
Oct-17,2.4,Private Sector
Nov-17,2.4,Private Sector
Dec-17,3.4,Private Sector
Jan-18,2.7,Private Sector
Feb-18,2.7,Private Sector
Mar-18,3.5,Private Sector
Apr-18,2.2,Private Sector
May-18,2.6,Private Sector
Jun-18,1.9,Private Sector
Jul-18,3.4,Private Sector
Aug-18,3.4,Private Sector
Sep-18,2.8,Private Sector
Oct-18,4.5,Private Sector
Nov-18,3.2,Private Sector
Dec-18,3.3,Private Sector
Jan-19,3.9,Private Sector
Feb-19,3.8,Private Sector
Mar-19,2.6,Private Sector
Apr-19,3.8,Private Sector
May-19,3.9,Private Sector
Jun-19,3.9,Private Sector
Jul-19,4.1,Private Sector
Aug-19,3.7,Private Sector
Sep-19,4,Private Sector
Oct-19,2.1,Private Sector
Nov-19,3.1,Private Sector
Dec-19,2.5,Private Sector
Jan-20,3,Private Sector
Feb-20,2.6,Private Sector
Mar-20,1.2,Private Sector
Apr-20,-2.1,Private Sector
May-20,-2.7,Private Sector
Jun-20,-2.7,Private Sector
Jul-20,-0.9,Private Sector
Aug-20,1.4,Private Sector
Sep-20,2,Private Sector
Oct-20,3.7,Private Sector
Nov-20,5.2,Private Sector
Dec-20,4.6,Private Sector
Jan-21,4.4,Private Sector
Feb-21,3.9,Private Sector
Mar-21,3.5,Private Sector
Apr-21,10.3,Private Sector
May-21,10.4,Private Sector
Jun-21,10.5,Private Sector
Jul-21,8.2,Private Sector
Aug-21,6.3,Private Sector
Sep-21,5.3,Private Sector
Oct-21,4.7,Private Sector
Nov-21,3.8,Private Sector
Dec-21,6.6,Private Sector
Jan-22,6,Private Sector
Feb-22,6.8,Private Sector
Mar-22,11.5,Private Sector
Apr-22,5.8,Private Sector
May-22,5,Private Sector
Jun-22,7.3,Private Sector
Jul-22,6.6,Private Sector
Aug-22,6.7,Private Sector
Sep-22,7,Private Sector
Oct-22,6.7,Private Sector
