Date,Growth Rate,Sector
Jan to Mar 2001,6.8,Private sector - total
Feb to Apr 2001,6.7,Private sector - total
Mar to May 2001,5.1,Private sector - total
Apr to Jun 2001,5.4,Private sector - total
May to Jul 2001,5.1,Private sector - total
Jun to Aug 2001,5.1,Private sector - total
Jul to Sep 2001,4.5,Private sector - total
Aug to Oct 2001,4.4,Private sector - total
Sep to Nov 2001,4.2,Private sector - total
Oct to Dec 2001,3.8,Private sector - total
Nov to Jan 2002,3.5,Private sector - total
Dec to Feb 2002,2.9,Private sector - total
Jan to Mar 2002,2.9,Private sector - total
Feb to Apr 2002,2.9,Private sector - total
Mar to May 2002,3.2,Private sector - total
Apr to Jun 2002,3.5,Private sector - total
May to Jul 2002,3.7,Private sector - total
Jun to Aug 2002,3.6,Private sector - total
Jul to Sep 2002,3.4,Private sector - total
Aug to Oct 2002,3,Private sector - total
Sep to Nov 2002,2.7,Private sector - total
Oct to Dec 2002,2.3,Private sector - total
Nov to Jan 2003,2.1,Private sector - total
Dec to Feb 2003,1.8,Private sector - total
Jan to Mar 2003,2.7,Private sector - total
Feb to Apr 2003,2.9,Private sector - total
Mar to May 2003,3.2,Private sector - total
Apr to Jun 2003,2.4,Private sector - total
May to Jul 2003,2.3,Private sector - total
Jun to Aug 2003,2.2,Private sector - total
Jul to Sep 2003,2.5,Private sector - total
Aug to Oct 2003,3,Private sector - total
Sep to Nov 2003,3.4,Private sector - total
Oct to Dec 2003,3.6,Private sector - total
Nov to Jan 2004,3.8,Private sector - total
Dec to Feb 2004,3.7,Private sector - total
Jan to Mar 2004,3.6,Private sector - total
Feb to Apr 2004,3.6,Private sector - total
Mar to May 2004,4,Private sector - total
Apr to Jun 2004,4.2,Private sector - total
May to Jul 2004,4.4,Private sector - total
Jun to Aug 2004,4.4,Private sector - total
Jul to Sep 2004,4.6,Private sector - total
Aug to Oct 2004,4.7,Private sector - total
Sep to Nov 2004,4.8,Private sector - total
Oct to Dec 2004,4.9,Private sector - total
Nov to Jan 2005,4.7,Private sector - total
Dec to Feb 2005,5.1,Private sector - total
Jan to Mar 2005,4.8,Private sector - total
Feb to Apr 2005,4.6,Private sector - total
Mar to May 2005,4,Private sector - total
Apr to Jun 2005,3.9,Private sector - total
May to Jul 2005,4.1,Private sector - total
Jun to Aug 2005,4.5,Private sector - total
Jul to Sep 2005,4.7,Private sector - total
Aug to Oct 2005,4.5,Private sector - total
Sep to Nov 2005,4.4,Private sector - total
Oct to Dec 2005,4.2,Private sector - total
Nov to Jan 2006,4,Private sector - total
Dec to Feb 2006,4.4,Private sector - total
Jan to Mar 2006,5,Private sector - total
Feb to Apr 2006,5.6,Private sector - total
Mar to May 2006,5.4,Private sector - total
Apr to Jun 2006,5.5,Private sector - total
May to Jul 2006,5.4,Private sector - total
Jun to Aug 2006,5,Private sector - total
