Date,Growth Rate,Sector
Jan-01,6.8,Private sector - total
Feb-01,6.7,Private sector - total
Mar-01,5.1,Private sector - total
Apr-01,5.4,Private sector - total
May-01,5.1,Private sector - total
Jun-01,5.1,Private sector - total
Jul-01,4.5,Private sector - total
Aug-01,4.4,Private sector - total
Sep-01,4.2,Private sector - total
Oct-01,3.8,Private sector - total
Nov-01,3.5,Private sector - total
Dec-01,2.9,Private sector - total
Jan-02,2.9,Private sector - total
Feb-02,2.9,Private sector - total
Mar-02,3.2,Private sector - total
Apr-02,3.5,Private sector - total
May-02,3.7,Private sector - total
Jun-02,3.6,Private sector - total
Jul-02,3.4,Private sector - total
Aug-02,3,Private sector - total
Sep-02,2.7,Private sector - total
Oct-02,2.3,Private sector - total
Nov-02,2.1,Private sector - total
Dec-02,1.8,Private sector - total
Jan-03,2.7,Private sector - total
Feb-03,2.9,Private sector - total
Mar-03,3.2,Private sector - total
Apr-03,2.4,Private sector - total
May-03,2.3,Private sector - total
Jun-03,2.2,Private sector - total
Jul-03,2.5,Private sector - total
Aug-03,3,Private sector - total
Sep-03,3.4,Private sector - total
Oct-03,3.6,Private sector - total
Nov-03,3.8,Private sector - total
Dec-03,3.7,Private sector - total
Jan-04,3.6,Private sector - total
Feb-04,3.6,Private sector - total
Mar-04,4,Private sector - total
Apr-04,4.2,Private sector - total
May-04,4.4,Private sector - total
Jun-04,4.4,Private sector - total
Jul-04,4.6,Private sector - total
Aug-04,4.7,Private sector - total
Sep-04,4.8,Private sector - total
Oct-04,4.9,Private sector - total
Nov-04,4.7,Private sector - total
Dec-04,5.1,Private sector - total
Jan-05,4.8,Private sector - total
Feb-05,4.6,Private sector - total
Mar-05,4,Private sector - total
Apr-05,3.9,Private sector - total
May-05,4.1,Private sector - total
Jun-05,4.5,Private sector - total
Jul-05,4.7,Private sector - total
Aug-05,4.5,Private sector - total
Sep-05,4.4,Private sector - total
Oct-05,4.2,Private sector - total
Nov-05,4,Private sector - total
Dec-05,4.4,Private sector - total
Jan-06,5,Private sector - total
Feb-06,5.6,Private sector - total
Mar-06,5.4,Private sector - total
Apr-06,5.5,Private sector - total
May-06,5.4,Private sector - total
Jun-06,5,Private sector - total
Jul-06,4.3,Private sector - total
Aug-06,4.3,Private sector - total
Sep-06,4.5,Private sector - total
Oct-06,5.3,Private sector - total
Nov-06,6.1,Private sector - total
Dec-06,7.2,Private sector - total
Jan-07,6.5,Private sector - total
Feb-07,5.7,Private sector - total
Mar-07,4.7,Private sector - total
Apr-07,4.7,Private sector - total
May-07,4.9,Private sector - total
Jun-07,5.1,Private sector - total
Jul-07,5.7,Private sector - total
Aug-07,5.4,Private sector - total
Sep-07,5.3,Private sector - total
Oct-07,4.3,Private sector - total
Nov-07,4.1,Private sector - total
Dec-07,3.8,Private sector - total
Jan-08,4.4,Private sector - total
Feb-08,4.7,Private sector - total
Mar-08,4.8,Private sector - total
Apr-08,4.3,Private sector - total
May-08,3.8,Private sector - total
