"Average weekly earning growth in the UK 2001-2022, by sector",,,
"Average year-on-year growth of weekly earnings in the United Kingdom from January 2001 to October 2022, by sector",,,
,Public Sector,Private Sector,
Jan 01,2.80,6.10,in %
Feb 01,2.70,9.60,in %
Mar 01,4.10,4.90,in %
Apr 01,5.80,5.80,in %
May 01,6,4.70,in %
Jun 01,5.60,5.80,in %
Jul 01,6,4.70,in %
Aug 01,6.60,4.70,in %
Sep 01,6.10,4.10,in %
Oct 01,6.10,4.40,in %
Nov 01,5.10,4.20,in %
Dec 01,5.30,2.80,in %
Jan 02,4.80,3.40,in %
Feb 02,4.50,2.60,in %
Mar 02,4.40,2.80,in %
Apr 02,3.80,3.20,in %
May 02,3.70,3.70,in %
Jun 02,3.70,3.70,in %
Jul 02,4.10,3.80,in %
Aug 02,2.20,3.30,in %
Sep 02,3.30,3.20,in %
Oct 02,3.50,2.60,in %
Nov 02,4.20,2.50,in %
Dec 02,5.10,1.80,in %
Jan 03,4.10,2,in %
Feb 03,4.20,1.70,in %
Mar 03,4.30,4.30,in %
Apr 03,4.40,2.60,in %
May 03,3.70,2.60,in %
Jun 03,4.90,2,in %
Jul 03,4.60,2.20,in %
Aug 03,6.40,2.40,in %
Sep 03,5.50,3,in %
Oct 03,4.90,3.60,in %
Nov 03,4.70,3.40,in %
Dec 03,4.70,3.80,in %
Jan 04,4.40,4.20,in %
Feb 04,4.70,3,in %
Mar 04,4.60,3.70,in %
Apr 04,4.60,4.10,in %
May 04,4.90,4.30,in %
Jun 04,4.20,4.20,in %
Jul 04,3.80,4.60,in %
Aug 04,3.60,4.50,in %
Sep 04,4.10,4.70,in %
Oct 04,4.50,4.90,in %
Nov 04,4.50,4.70,in %
Dec 04,4.20,5,in %
Jan 05,5,4.50,in %
Feb 05,4.30,5.70,in %
Mar 05,5.30,4.30,in %
Apr 05,5.30,3.90,in %
May 05,5.70,3.70,in %
Jun 05,5.20,4.20,in %
Jul 05,5.60,4.40,in %
Aug 05,6.10,5,in %
Sep 05,5.20,4.60,in %
Oct 05,5.20,4,in %
Nov 05,5.20,4.60,in %
Dec 05,4.50,4.10,in %
Jan 06,4.70,3.40,in %
Feb 06,5.40,5.80,in %
Mar 06,3.40,5.80,in %
Apr 06,3.70,5.30,in %
May 06,3.40,5.20,in %
Jun 06,3.70,6,in %
Jul 06,3.50,4.90,in %
Aug 06,2.90,4,in %
Sep 06,2.80,4,in %
Oct 06,2.90,4.80,in %
Nov 06,2.70,4.70,in %
Dec 06,3.20,6.50,in %
Jan 07,3.60,7.20,in %
Feb 07,2.60,7.90,in %
Mar 07,3.60,4.60,in %
Apr 07,3.20,4.70,in %
May 07,3.70,5,in %
Jun 07,3.40,4.50,in %
Jul 07,2.80,5.30,in %
Aug 07,3.40,5.60,in %
Sep 07,3.40,6.10,in %
Oct 07,3.10,4.60,in %
Nov 07,3.30,5.10,in %
Dec 07,3.30,3.20,in %
Jan 08,2.90,4,in %
Feb 08,3.70,4.10,in %
