Country,2017,2018,2020,2021
Indonesia,78,69,83,84
Australia,71,68,61,64
New Zealand,68,65,51,61
United States of America,61,61,,61
Ireland,64,69,45,59
United Kingdom of Great Britain and Northern Ireland,68,71,59,65
Singapore,58,48,,52
Kenya,46,38,49,55
Myanmar,88,81,71,73
Bahrain,53,,51,
Netherlands,66,71,56,68
United Arab Emirates,62,52,47,56
Norway,65,,49,59
Haiti,54,45,,
Canada,56,63,44,59
Nigeria,36,27,33,29
Iceland,65,,56,67
Malta,64,71,39,64
Liberia,14,12,,
Sierra Leone,23,21,,27
Zambia,35,22,26,35
Germany,55,49,34,48
Trinidad and Tobago,37,,,
Denmark,56,58,46,55
Mauritius,42,,30,33
Switzerland,60,56,36,45
Sri Lanka,39,50,26,30
Libya,28,,,
Iran (Islamic Republic of),53,48,45,49
Hong Kong,55,,34,44
Gambia,28,,,
Austria,54,53,41,57
Kuwait,39,,,
Iraq,29,23,26,29
Cyprus,42,44,30,35
Tajikistan,32,19,16,15
Ghana,30,25,44,35
Israel,53,51,33,39
Belgium,45,39,23,
South Africa,17,18,28,16
Luxembourg,50,51,,
Sweden,57,55,49,58
Turkmenistan,37,32,,
Finland,39,42,28,37
Mongolia,41,40,44,52
Honduras,31,28,,36
Slovenia,35,36,29,42
South Sudan,29,,,
Dominican Republic,20,25,20,25
Uganda,23,22,32,27
Saudi Arabia,26,28,28,29
Nepal,33,30,35,36
Uzbekistan,38,35,46,45
Spain,35,30,26,31
Kyrgyzstan,38,28,34,44
Jamaica,15,,13,20
Malawi,15,21,,14
"Congo, Democratic Republic of the",19,,,
Paraguay,28,34,37,33
"Korea, Republic of",40,34,28,
Chile,33,44,38,30
Thailand,53,71,60,62
Costa Rica,25,31,20,32
Cameroon,18,19,26,19
"Taiwan, Province of China",33,,,
Guatemala,21,32,,
Kosovo,40,39,59,56
Nicaragua,26,28,28,27
Italy,35,38,23,30
Central African Republic,18,,,
Guinea,22,21,,35
Niger,10,9,,
France,27,27,22,30
Namibia,10,,17,13
Bangladesh,23,16,22,
Jordan,13,18,13,14
Zimbabwe,10,10,18,10
Uruguay,25,26,25,30
Panama,20,32,,22
Mozambique,11,,,18
Colombia,15,22,22,25
Ukraine,29,18,43,47
Burkina Faso,11,13,,24
Portugal,20,20,13,17
"Tanzania, United Republic of",30,,,
Lebanon,24,33,17,14
Bolivia (Plurinational State of),15,22,22,22
Senegal,16,13,16,24
Slovakia,31,28,29,42
Philippines,13,24,16,26
Bosnia and Herzegovina,40,,,60
Pakistan,27,32,24,25
Algeria,13,,16,18
Mali,11,12,11,18
Argentina,16,18,21,33
Lesotho,5,,,
Kazakhstan,32,21,29,39
Botswana,8,13,,
Ethiopia,17,19,36,
"Moldova, Republic of",24,20,,
Madagascar,12,11,,
Peru,15,18,21,22
Chad,16,16,,
Romania,20,20,21,18
Rwanda,22,17,,
Morocco,5,18,3,7
Benin,13,13,12,19
Egypt,14,16,18,7
Venezuela (Bolivarian Republic of),11,13,13,22
Albania,28,21,31,36
Estonia,27,20,29,43
Russian Federation,21,12,28,42
Côte d'Ivoire,12,,,
Poland,24,28,36,50
Gabon,9,12,12,11
Mexico,13,20,21,30
Congo,8,11,19,
Montenegro,25,20,39,
Togo,11,,,22
Georgia,6,6,9,3
Ecuador,13,18,13,21
Hungary,22,20,25,33
Belarus,21,18,,
Brazil,14,22,26,41
Armenia,15,10,,16
India,20,24,36,31
Czechia,21,22,25,55
Bulgaria,18,16,34,34
El Salvador,10,13,15,20
Japan,18,23,12,18
Serbia,24,22,47,60
North Macedonia,26,,,
Türkiye,12,,25,33
Croatia,25,22,29,37
Mauritania,8,19,,
Lao People's Democratic Republic,33,,,
Tunisia,7,10,8,9
Afghanistan,6,25,,7
Latvia,21,25,29,27
Lithuania,19,12,25,27
Azerbaijan,8,14,,
Cambodia,30,40,28,24
"Palestine, State of",7,,,
China,14,11,22,35
Greece,7,7,12,21
Yemen,2,6,,
