Country,2018,2019,2021,2022
Indonesia,46.0,42.0,65.0,58.0
Australia,65.0,64.0,57.0,69.0
New Zealand,66.0,64.0,56.0,66.0
United States of America,72.0,72.0,,80.0
Ireland,64.0,62.0,49.0,55.0
United Kingdom of Great Britain and Northern Ireland,63.0,60.0,43.0,52.0
Singapore,67.0,39.0,,61.0
Kenya,72.0,68.0,76.0,77.0
Myanmar,40.0,49.0,51.0,55.0
Bahrain,74.0,,64.0,
Netherlands,52.0,53.0,35.0,43.0
United Arab Emirates,68.0,63.0,66.0,65.0
Norway,54.0,,39.0,50.0
Haiti,62.0,44.0,,
Canada,57.0,64.0,52.0,65.0
Nigeria,71.0,66.0,82.0,79.0
Iceland,50.0,,35.0,50.0
Malta,53.0,45.0,37.0,48.0
Liberia,80.0,77.0,,
Sierra Leone,80.0,74.0,,83.0
Zambia,70.0,67.0,76.0,74.0
Germany,58.0,56.0,40.0,54.0
Trinidad and Tobago,70.0,,,
Denmark,58.0,52.0,46.0,60.0
Mauritius,57.0,,46.0,54.0
Switzerland,40.0,48.0,30.0,40.0
Sri Lanka,52.0,55.0,49.0,66.0
Libya,83.0,,,
Iran (Islamic Republic of),61.0,56.0,62.0,64.0
Hong Kong,60.0,,37.0,55.0
Gambia,74.0,,,
Austria,52.0,53.0,42.0,51.0
Kuwait,80.0,,,
Iraq,81.0,65.0,78.0,73.0
Cyprus,60.0,53.0,49.0,63.0
Tajikistan,59.0,49.0,70.0,60.0
Ghana,62.0,58.0,65.0,61.0
Israel,50.0,43.0,40.0,51.0
Belgium,51.0,44.0,25.0,
South Africa,72.0,63.0,65.0,62.0
Luxembourg,40.0,39.0,,
Sweden,52.0,51.0,40.0,51.0
Turkmenistan,48.0,53.0,,
Finland,53.0,52.0,42.0,53.0
Mongolia,41.0,41.0,45.0,50.0
Honduras,54.0,49.0,,68.0
Slovenia,47.0,44.0,33.0,50.0
South Sudan,60.0,,,
Dominican Republic,64.0,59.0,70.0,73.0
Uganda,67.0,66.0,75.0,77.0
Saudi Arabia,74.0,62.0,64.0,64.0
Nepal,50.0,43.0,51.0,55.0
Uzbekistan,51.0,54.0,57.0,54.0
