Country,2017,2018,2020,2021
Indonesia,53,40,60,63
Australia,40,37,30,33
New Zealand,40,41,34,34
United States of America,39,42,,37
Ireland,40,38,26,32
United Kingdom of Great Britain and Northern Ireland,33,30,22,24
Singapore,39,19,,23
Kenya,45,37,49,52
Myanmar,34,43,31,28
Bahrain,33,,19,
Netherlands,37,36,21,26
United Arab Emirates,23,19,21,21
Norway,32,,19,26
Haiti,31,30,,
Canada,33,37,18,29
Nigeria,37,32,42,35
Iceland,27,,16,22
Malta,25,24,18,23
Liberia,47,43,,
Sierra Leone,37,33,,44
Zambia,34,28,28,43
Germany,26,26,15,20
Trinidad and Tobago,31,,,
Denmark,23,22,19,23
Mauritius,38,,25,25
Switzerland,37,32,19,27
Sri Lanka,45,46,26,37
Libya,24,,,
Iran (Islamic Republic of),20,20,11,15
Hong Kong,19,,6,12
Gambia,30,,,
Austria,26,27,18,27
Kuwait,11,,,
Iraq,19,13,14,10
Cyprus,26,25,18,22
Tajikistan,36,39,49,43
Ghana,36,30,32,33
Israel,23,22,12,21
Belgium,27,25,15,
South Africa,34,25,31,28
Luxembourg,33,29,,
Sweden,13,13,11,17
Turkmenistan,35,43,,
Finland,26,28,22,23
Mongolia,36,33,42,36
Honduras,32,31,,33
Slovenia,35,32,22,25
South Sudan,29,,,
Dominican Republic,32,32,28,36
Uganda,26,26,31,35
Saudi Arabia,12,13,14,16
Nepal,27,26,33,30
Uzbekistan,20,33,16,15
Spain,17,16,13,16
Kyrgyzstan,18,25,22,23
Jamaica,29,,23,36
Malawi,26,29,,30
"Congo, Democratic Republic of the",29,,,
Paraguay,22,22,21,29
"Korea, Republic of",15,20,10,
Chile,15,15,14,16
Thailand,12,15,17,19
Costa Rica,17,22,12,22
Cameroon,16,16,24,22
"Taiwan, Province of China",19,,,
Guatemala,28,34,,
Kosovo,10,11,10,11
Nicaragua,22,20,20,30
Italy,17,16,9,14
Central African Republic,27,,,
Guinea,24,23,,33
Niger,20,11,,
France,31,27,23,29
Namibia,21,,24,23
Bangladesh,13,11,13,
Jordan,9,7,5,9
Zimbabwe,18,21,27,19
Uruguay,15,15,14,19
Panama,21,25,,23
Mozambique,27,,,30
Colombia,17,20,16,24
Ukraine,15,19,19,24
Burkina Faso,19,15,,32
Portugal,15,14,10,10
"Tanzania, United Republic of",8,,,
Lebanon,12,10,8,9
Bolivia (Plurinational State of),21,21,19,33
Senegal,15,14,21,25
Slovakia,22,14,14,19
Philippines,28,38,23,39
Bosnia and Herzegovina,7,,,10
Pakistan,13,13,8,10
Algeria,17,,18,14
Mali,20,12,24,32
Argentina,15,16,16,31
Lesotho,20,,,
Kazakhstan,16,20,12,16
Botswana,16,18,,
Ethiopia,23,17,30,
"Moldova, Republic of",13,16,,
Madagascar,31,24,,
Peru,20,19,18,24
Chad,16,16,,
Romania,6,7,7,11
Rwanda,18,14,,
Morocco,9,7,6,14
Benin,17,15,13,24
Egypt,6,6,10,4
Venezuela (Bolivarian Republic of),15,13,23,30
Albania,7,9,11,8
Estonia,16,17,18,20
Russian Federation,11,16,14,24
Côte d'Ivoire,7,,,
Poland,15,11,21,25
Gabon,10,11,10,17
Mexico,14,18,16,27
Congo,14,15,23,
Montenegro,9,8,11,
Togo,14,,,23
Georgia,17,18,34,22
Ecuador,18,15,17,30
Hungary,12,9,9,13
Belarus,19,25,,
Brazil,13,15,15,25
Armenia,9,8,,11
India,15,19,34,33
Czechia,19,15,19,24
Bulgaria,5,5,12,18
El Salvador,15,18,22,27
Japan,23,22,12,17
Serbia,6,6,5,9
North Macedonia,5,,,
Türkiye,9,,10,11
Croatia,11,9,7,10
Mauritania,14,15,,
Lao People's Democratic Republic,4,,,
Tunisia,8,9,12,13
Afghanistan,11,17,,13
Latvia,9,10,7,10
Lithuania,18,11,16,19
Azerbaijan,12,20,,
Cambodia,6,8,13,10
"Palestine, State of",9,,,
China,7,5,14,28
Greece,7,6,14,17
Yemen,6,5,,
