Country,2018_Rank,2018_CAF,2019_Rank,2019_CAF,2021_Rank,2021_CAF,2022_Rank,2022_CAF
Indonesia,1,59,10.0,50.0,1.0,69.0,1.0,68.0
Australia,2,59,4.0,56.0,5.0,49.0,4.0,55.0
New Zealand,3,58,3.0,57.0,7.0,47.0,5.0,54.0
United States of America,4,58,1.0,58.0,,,3.0,59.0
Ireland,5,56,5.0,56.0,26.0,40.0,11.0,49.0
United Kingdom,6,55,7.0,54.0,22.0,41.0,17.0,47.0
Singapore,7,54,46.0,35.0,,,31.0,45.0
Kenya,8,54,11.0,47.0,2.0,58.0,2.0,61.0
Myanmar,9,54,2.0,58.0,4.0,51.0,6.0,52.0
Bahrain,10,53,,,12.0,45.0,,
Netherlands,11,51,8.0,53.0,39.0,37.0,29.0,46.0
United Arab Emirates,12,51,14.0,45.0,13.0,44.0,15.0,47.0
Norway,13,50,,,47.0,36.0,32.0,45.0
Haiti,14,49,27.0,40.0,,,,
Canada,15,49,6.0,55.0,35.0,38.0,8.0,51.0
Nigeria,16,48,22.0,42.0,3.0,52.0,14.0,48.0
Iceland,17,48,,,46.0,36.0,23.0,46.0
Malta,18,47,12.0,47.0,77.0,31.0,35.0,45.0
Liberia,19,47,17.0,44.0,,,,
Sierra Leone,20,47,20.0,42.0,,,7.0,51.0
Zambia,21,46,32.0,39.0,17.0,43.0,9.0,50.0
Germany,22,46,18.0,43.0,85.0,30.0,55.0,41.0
Trinidad and Tobago,23,46,,,,,,
Denmark,24,46,16.0,44.0,40.0,37.0,24.0,46.0
Mauritius,25,46,,,61.0,34.0,79.0,37.0
Switzerland,26,45,13.0,45.0,97.0,28.0,76.0,37.0
Sri Lanka,27,45,9.0,51.0,63.0,34.0,40.0,44.0
Libya,28,45,,,,,,
Iran,29,45,23.0,41.0,32.0,39.0,48.0,43.0
Hong Kong,30,44,,,104.0,26.0,81.0,37.0
Gambia (The),31,44,,,,,,
Austria,32,44,15.0,45.0,62.0,34.0,33.0,45.0
Kuwait,33,43,,,,,,
Iraq,34,43,52.0,34.0,34.0,39.0,75.0,37.0
Cyprus,35,43,24.0,41.0,70.0,32.0,60.0,40.0
Tajikistan,36,42,44.0,36.0,11.0,45.0,66.0,39.0
Ghana,37,42,38.0,38.0,6.0,47.0,46.0,43.0
Israel,38,42,34.0,39.0,92.0,28.0,78.0,37.0
Belgium,39,41,42.0,36.0,112.0,21.0,,
South Africa,40,41,45.0,36.0,21.0,41.0,87.0,35.0
Luxembourg,41,41,28.0,40.0,,,,
Sweden,42,41,29.0,40.0,64.0,34.0,50.0,42.0
Turkmenistan,43,40,19.0,43.0,,,,
Finland,44,40,25.0,41.0,81.0,31.0,74.0,37.0
Mongolia,45,39,37.0,38.0,16.0,44.0,25.0,46.0
Honduras,46,39,43.0,36.0,,,26.0,46.0
