Country,CAF World Giving Index ranking,CAF World Giving Index score (%),Helping a stranger ranking,Helping a stranger (%),Donating money ranking,Donating money (%),"Volunteering time
ranking",Volunteering time (%)
Indonesia,1,69,26,65,1,83,1,60
Kenya,2,58,6,76,13,49,3,49
Nigeria,3,52,1,82,46,33,4,42
Myanmar,4,51,76,51,2,71,13,31
Australia,5,49,56,57,3,61,14,30
Ghana,6,47,25,65,26,44,10,32
New Zealand,7,47,66,56,9,51,8,34
Uganda,8,46,7,75,48,32,11,31
Kosovo,9,46,15,68,5,59,97,10
Thailand,10,46,44,60,4,60,58,17
Tajikistan,11,45,9,70,97,16,2,49
Bahrain,12,45,29,64,10,51,47,19
United Arab Emirates,13,44,20,66,16,47,41,21
India,14,44,41,61,35,36,6,34
Ethiopia,15,44,22,66,36,36,15,30
Mongolia,16,44,85,45,27,44,5,42
Zambia,17,43,5,76,65,26,16,28
Cameroon,18,43,2,78,66,26,25,24
"United States ofAmerica",19,43,54,58,24,45,21,26
Ukraine,20,43,21,66,28,43,44,19
South Africa,21,41,23,65,63,28,12,31
United Kingdom,22,41,89,43,6,59,36,22
Paraguay,23,41,31,64,34,37,38,21
Tanzania,24,40,67,56,14,48,59,17
Vietnam,25,40,35,63,40,35,31,22
Ireland,26,40,78,49,20,45,20,26
Nepal,27,40,75,51,41,35,9,33
Georgia,28,40,4,76,112,9,7,34
Uzbekistan,29,40,58,57,18,46,62,16
Malaysia,29,40,68,55,21,45,43,19
Chile,31,39,18,67,33,38,76,14
Iran,32,39,38,62,23,45,92,11
Dominican Republic,33,39,10,70,91,20,17,28
Iraq,34,39,3,78,67,26,80,14
Canada,35,38,74,52,25,44,51,18
Kyrgyzstan,36,38,49,59,45,34,35,22
Poland,37,38,65,56,37,36,40,21
North Macedonia,38,38,62,57,19,45,94,11
Netherlands,39,37,107,35,8,56,39,21
Denmark,40,37,82,46,17,46,49,19
Nicaragua,41,37,37,63,60,28,42,20
Namibia,42,37,12,69,95,17,24,24
Moldova,43,37,11,70,77,25,64,16
Zimbabwe,44,37,24,65,94,18,18,27
Bulgaria,45,37,30,64,44,34,89,12
Iceland,46,36,106,35,7,56,63,16
Norway,47,36,102,39,12,49,47,19
Serbia,48,35,69,54,15,47,113,5
Saudi Arabia,49,35,32,64,61,28,74,14
Senegal,50,35,13,68,98,16,37,21
Colombia,51,35,17,67,82,22,66,16
Cote d'Ivoire,52,35,28,65,71,25,79,14
Venezuela,53,35,14,68,103,13,29,23
Brazil,54,35,36,63,70,26,68,15
Bolivia,55,35,33,64,84,22,50,19
Congo (Brazzaville),56,35,39,62,92,19,27,23
Peru,57,34,27,65,89,21,56,18
Jamaica,57,34,19,67,102,13,26,23
Montenegro,59,34,73,53,31,39,96,11
"Bosnia andHerzegovina",60,34,77,50,22,45,110,7
Mauritius,61,34,83,46,50,30,22,25
Austria,62,34,94,42,29,41,54,18
Sri Lanka,63,34,81,49,68,26,19,26
Sweden,64,34,99,40,11,49,95,11
Albania,65,33,52,58,49,31,93,11
Philippines,65,33,40,62,99,16,28,23
Russian Federation,67,33,57,57,58,28,77,14
Egypt,68,33,8,71,93,18,101,10
Bangladesh,69,33,34,63,81,22,83,13
Cyprus,70,32,79,49,51,30,55,18
Uruguay,71,32,60,57,72,25,71,14
Slovakia,72,32,70,53,56,29,78,14
Mexico,73,32,47,60,87,21,67,16
Argentina,74,32,51,58,86,21,61,16
"Lao People'sDemocratic Republic",75,32,96,42,30,40,75,14
Algeria,76,31,46,60,100,16,52,18
Malta,77,31,103,37,32,39,53,18
Turkey,78,31,48,59,75,25,99,10
El Salvador,79,31,63,56,101,15,34,22
Mali,80,31,55,58,111,11,23,24
Finland,81,31,93,42,62,28,33,22
Hungary,82,31,50,58,75,25,104,9
Costa Rica,83,30,53,58,90,20,87,12
Estonia,84,30,91,43,53,29,57,18
Germany,85,30,100,40,42,34,70,15
Croatia,86,30,72,53,55,29,107,7
"Taiwan, Provinceof China",87,30,95,42,39,35,88,12
Czech Republic,88,30,86,45,73,25,45,19
Tunisia,89,29,16,68,113,8,90,12
Ecuador,90,29,61,57,104,13,60,17
Benin,91,29,43,61,108,12,82,13
Israel,92,28,101,40,47,33,86,12
Cambodia,93,28,87,44,64,28,81,13
Slovenia,94,28,109,33,52,29,32,22
China,95,28,80,49,85,22,73,14
Romania,96,28,59,57,88,21,108,7
Switzerland,97,28,111,30,38,36,46,19
Kazakhstan,98,28,90,43,54,29,85,12
Lithuania,99,28,88,43,74,25,65,16
Spain,100,27,97,41,69,26,84,13
Greece,101,26,71,53,110,12,72,14
Jordan,102,26,42,61,105,13,114,5
Gabon,103,26,64,56,109,12,98,10
Hong Kong,104,26,105,37,43,34,111,6
Latvia,105,25,98,41,57,29,109,7
France,106,25,110,31,83,22,30,23
Pakistan,107,25,92,42,78,24,106,8
Lebanon,108,24,84,46,96,17,105,8
Morocco,109,23,45,60,114,3,112,6
Republic of Korea,110,22,112,29,59,28,100,10
Italy,111,22,108,33,80,23,103,9
Belgium,112,21,113,25,79,23,69,15
Portugal,113,20,104,37,106,13,102,10
Japan,114,12,114,12,107,12,91,12
