Country,2018,2019,2021,2022,CAF_2018,CAF_2019,CAF_2021,CAF_2022
Africa Eastern and Southern,1550.18,1500.23,1537.34,,,,,
Africa Western and Central,1731.31,1749.3,1757.03,,,,,
Arab World,6474.3,6384.39,6266.36,,,,,
Caribbean small states,10353.12,10429.33,10063.69,,,,,
Central Europe and the Baltics,16086.32,16358.47,18751.03,,,,,
Early-demographic dividend,3467.18,3489.13,3702.69,,,,,
East Asia & Pacific,11310.5,11482.53,13041.78,,,,,
East Asia & Pacific (excluding high income),7944.55,8169.17,9771.65,,,,,
East Asia & Pacific (IDA & IBRD countries),8032.8,8259.8,9880.1,,,,,
Euro area,40045.57,39182.55,42450.15,,,,,
Europe & Central Asia,25243.79,24870.26,27152.47,,,,,
Europe & Central Asia (excluding high income),7994.78,8129.89,8758.94,,,,,
Europe & Central Asia (IDA & IBRD countries),8870.4,9019.72,9842.05,,,,,
European Union,35751.22,35079.47,38411.06,,,,,
Fragile and conflict affected situations,1847.08,1874.07,1784.73,,,,,
Heavily indebted poor countries (HIPC),972.56,978.79,1035.89,,,,,
High income,44527.61,44723.93,48225.24,,,,,
IBRD only,6352.35,6435.95,7221.41,,,,,
IDA & IBRD total,5074.96,5124.49,5682.47,,,,,
IDA blend,1874.95,1827.17,1842.77,,,,,
IDA only,1115.49,1149.25,1216.37,,,,,
IDA total,1371.08,1376.91,1426.03,,,,,
Late-demographic dividend,9839.47,9979.25,11465.86,,,,,
Latin America & Caribbean,8916.09,8707.19,8327.61,,,,,
Latin America & Caribbean (excluding high income),8384.85,8181.62,7728.03,,,,,
Latin America & the Caribbean (IDA & IBRD countries),8754.29,8526.27,8108.92,,,,,
Least developed countries: UN classification,1063.34,1090.0,1150.03,,,,,
Low & middle income,4898.95,4950.73,5491.92,,,,,
Low income,686.58,704.49,704.51,,,,,
Lower middle income,2323.93,2386.49,2572.71,,,,,
Middle East & North Africa,7476.77,7338.01,7562.83,,,,,
Middle East & North Africa (excluding high income),3491.19,3439.3,3565.24,,,,,
Middle East & North Africa (IDA & IBRD countries),3490.37,3436.76,3564.07,,,,,
Middle income,5384.0,5448.65,6074.08,,,,,
North America,61174.78,63198.7,68369.66,,,,,
Not classified,,,,,,,,
OECD members,39348.31,39531.66,42446.86,,,,,
Other small states,14062.5,13540.4,13878.81,,,,,
Pacific island small states,4283.74,4233.41,3643.85,,,,,
Post-demographic dividend,45382.31,45700.94,49223.6,,,,,
Pre-demographic dividend,1447.04,1455.6,1411.46,,,,,
Small states,12808.19,12427.58,12588.93,,,,,
South Asia,1920.21,1962.8,2149.82,,,,,
South Asia (IDA & IBRD),1920.21,1962.8,2149.82,,,,,
Sub-Saharan Africa,1623.58,1601.12,1626.28,,,,,
Sub-Saharan Africa (excluding high income),1622.22,1599.76,1625.18,,,,,
Sub-Saharan Africa (IDA & IBRD countries),1623.58,1601.12,1626.28,,,,,
Upper middle income,9435.78,9534.01,10828.05,,,,,
World,11284.18,11319.75,12234.8,,,,,
Afghanistan,502.06,500.52,368.75,2390.0,19.0,31.0,,21.0
Albania,5287.66,5396.22,6492.87,14218.0,26.0,23.0,33.0,34.0
Algeria,4171.8,4022.15,3690.63,11112.0,28.0,,31.0,30.0
American Samoa,13195.94,13672.58,15743.31,,,,,
Andorra,42903.44,41327.5,42137.33,,,,,
Angola,2487.5,2142.24,1953.53,6932.0,,,,
Antigua and Barbuda,17527.17,18319.46,15781.4,18618.0,,,,
Argentina,11795.16,9963.67,10636.12,20751.0,28.0,28.0,32.0,47.0
Armenia,4391.92,4828.51,4966.51,13261.0,23.0,21.0,,29.0
Aruba,30220.59,31650.76,29342.1,29090.0,,,,
Australia,57207.87,54941.43,60443.11,51680.0,59.0,56.0,49.0,55.0
Austria,51466.56,50070.4,53637.71,55218.0,44.0,45.0,34.0,45.0
Azerbaijan,4739.84,4805.75,5388.0,14431.0,18.0,24.0,,
"Bahamas, The",31738.27,32610.49,27478.39,,,,,
Bahrain,25415.85,25869.11,26562.97,48766.0,53.0,,45.0,
Bangladesh,1963.41,2122.08,2457.92,5307.0,31.0,26.0,33.0,
Barbados,18224.89,19002.96,17225.46,13553.0,,,,
Belarus,6360.06,6837.72,7302.26,20187.0,23.0,25.0,,
Belgium,47544.98,46638.68,51247.01,51096.0,41.0,36.0,21.0,
Belize,6059.16,6210.57,6228.27,6046.0,,,,
Benin,1194.44,1170.97,1319.15,3437.0,26.0,23.0,29.0,32.0
Bermuda,113050.74,116153.17,114090.33,,,,,
Bhutan,3210.71,3303.96,3266.36,12060.0,,,,
Bolivia (Plurinational State of),3471.01,3472.38,3345.2,8344.0,28.0,31.0,35.0,43.0
Bosnia and Herzegovina,5936.1,6011.37,7143.31,15047.0,28.0,,,44.0
Botswana,6947.8,6679.17,6805.22,16893.0,27.0,30.0,,
Brazil,9121.08,8845.26,7507.16,14916.0,23.0,28.0,35.0,47.0
Virgin Islands (British),,,,,,,,
Brunei Darussalam,31241.45,30748.74,31449.08,62371.0,,,,
Bulgaria,9446.72,9879.33,12221.5,23817.0,22.0,19.0,37.0,41.0
Burkina Faso,779.2,772.17,893.08,2262.0,29.0,25.0,,39.0
Burundi,231.45,216.97,221.48,760.0,,,,
Cabo Verde,3442.74,3434.56,3293.23,,,,,
Cambodia,1533.32,1671.39,1625.24,4695.0,18.0,24.0,28.0,19.0
Cameroon,1594.06,1538.69,1666.93,3646.0,34.0,33.0,43.0,37.0
Canada,46548.64,46328.67,51987.94,48720.0,49.0,55.0,38.0,51.0
Cayman Islands,85234.84,89871.91,86568.77,,,,,
Central African Republic,435.93,426.41,461.14,979.0,32.0,,,
Chad,720.27,701.62,685.69,1611.0,27.0,25.0,,
Channel Islands,,,,,,,,
Chile,15795.71,14631.95,16265.1,23366.0,34.0,37.0,39.0,38.0
China,9905.34,10143.84,12556.33,17192.0,17.0,16.0,28.0,42.0
Colombia,6782.04,6438.06,6104.14,14324.0,29.0,35.0,35.0,42.0
Comoros,1531.34,1510.8,1577.47,3048.0,,,,
"Congo, Democratic Republic of the",546.21,575.88,577.21,1106.0,35.0,,,
Congo,2512.38,2288.81,2290.38,4188.0,24.0,27.0,35.0,
Costa Rica,12383.15,12669.34,12472.44,19990.0,34.0,38.0,30.0,44.0
Côte d'Ivoire,2275.5,2238.81,2549.04,5365.0,25.0,,,
Croatia,15244.43,15331.88,17685.33,27717.0,20.0,21.0,30.0,37.0
Cuba,8831.91,9139.42,,,,,,
Curaçao,18956.1,19024.18,17717.6,,,,,
Cyprus,29418.94,29417.14,31551.82,40107.0,43.0,41.0,32.0,40.0
Czechia,23424.48,23664.85,26821.25,40618.0,22.0,22.0,30.0,48.0
Denmark,61591.93,59592.98,68007.76,58932.0,46.0,44.0,37.0,46.0
Djibouti,2755.84,2876.04,3150.44,5096.0,,,,
Dominica,7833.2,8561.59,7653.17,11072.0,,,,
Dominican Republic,7947.16,8173.34,8476.75,18608.0,39.0,39.0,39.0,44.0
Ecuador,6321.35,6233.26,5965.13,11009.0,24.0,24.0,29.0,42.0
"Egypt, Arab Rep.",2407.09,2869.58,3698.83,,,,,
El Salvador,4145.86,4280.29,4551.18,8422.0,22.0,25.0,31.0,36.0
Equatorial Guinea,8719.19,7317.39,7506.67,17788.0,,,,
Eritrea,,,,1821.0,,,,
Estonia,23165.85,23424.48,27943.7,38834.0,26.0,25.0,30.0,40.0
Eswatini,4020.27,3843.38,3978.4,8957.0,,,,
Ethiopia,758.3,840.45,925.08,2908.0,27.0,26.0,44.0,
Faroe Islands,62576.99,63383.2,69010.31,,,,,
Fiji,6073.34,5968.3,4646.61,11567.0,,,,
Finland,49987.63,48629.86,53654.75,49853.0,40.0,41.0,31.0,37.0
France,41557.85,40494.9,43658.98,46062.0,32.0,30.0,25.0,32.0
French Polynesia,20614.9,20023.5,19914.6,,,,,
Gabon,7694.91,7523.86,8635.33,15970.0,24.0,27.0,26.0,34.0
"Gambia, The",683.32,722.87,772.15,,,,,
Georgia,4722.04,4696.15,5023.27,14918.0,24.0,21.0,40.0,31.0
Germany,47939.28,46793.69,51203.55,54076.0,46.0,43.0,30.0,41.0
