Country,year,GDPpc,WGI
Albania,2018,5287.66,26
Argentina,2018,11795.16,28
Australia,2018,57207.87,59
Austria,2018,51466.56,44
Benin,2018,1194.44,26
Bolivia (Plurinational State of),2018,3471.01,28
Brazil,2018,9121.08,23
Bulgaria,2018,9446.72,22
Cambodia,2018,1533.32,18
Cameroon,2018,1594.06,34
Canada,2018,46548.64,49
Chile,2018,15795.71,34
China,2018,9905.34,17
Colombia,2018,6782.04,29
Costa Rica,2018,12383.15,34
Croatia,2018,15244.43,20
Cyprus,2018,29418.94,43
Czechia,2018,23424.48,22
Denmark,2018,61591.93,46
Dominican Republic,2018,7947.16,39
Ecuador,2018,6321.35,24
El Salvador,2018,4145.86,22
Estonia,2018,23165.85,26
Finland,2018,49987.63,40
France,2018,41557.85,32
Gabon,2018,7694.91,24
Georgia,2018,4722.04,24
Germany,2018,47939.28,46
Ghana,2018,2180.04,42
Greece,2018,19756.99,17
Hungary,2018,16425.1,23
India,2018,1974.38,22
Indonesia,2018,3902.66,59
Iraq,2018,5601.47,43
Ireland,2018,79250.39,56
Israel,2018,42406.85,42
Italy,2018,34622.17,33
Japan,2018,39727.12,22
Jordan,2018,4146.41,30
Kazakhstan,2018,9812.63,28
Kenya,2018,1845.78,54
Latvia,2018,17865.03,19
Lebanon,2018,9225.85,28
Lithuania,2018,19186.36,19
Mali,2018,856.36,28
Malta,2018,31567.94,47
Mexico,2018,9857.03,24
Mongolia,2018,4165.02,39
Morocco,2018,3492.67,26
Myanmar,2018,1274.92,54
Nepal,2018,1161.53,37
Netherlands,2018,53044.53,51
New Zealand,2018,43250.44,58
Nicaragua,2018,1981.86,33
Nigeria,2018,2125.83,48
Pakistan,2018,1620.74,28
Paraguay,2018,6242.96,34
Peru,2018,6912.11,27
Philippines,2018,3194.67,28
Poland,2018,15504.58,24
Portugal,2018,23562.55,28
Romania,2018,12494.48,27
Russian Federation,2018,11287.36,25
Saudi Arabia,2018,23318.74,37
Senegal,2018,1484.24,28
Serbia,2018,7252.4,21
Slovakia,2018,19486.39,28
Slovenia,2018,26123.75,39
South Africa,2018,7048.52,41
Spain,2018,30379.72,36
Sri Lanka,2018,4360.58,45
Sweden,2018,54589.06,41
Switzerland,2018,85217.37,45
Tajikistan,2018,850.67,42
Thailand,2018,7124.56,34
Tunisia,2018,3577.12,20
Uganda,2018,793.13,39
Ukraine,2018,3096.56,29
United Arab Emirates,2018,46722.27,51
United Kingdom of Great Britain and Northern Ireland,2018,43306.31,55
Uruguay,2018,18825.28,30
Uzbekistan,2018,1597.07,36
Zambia,2018,1475.2,46
Zimbabwe,2018,2269.18,30
Albania,2019,5396.22,23
Argentina,2019,9963.67,28
Australia,2019,54941.43,56
Austria,2019,50070.4,45
Benin,2019,1170.97,23
Bolivia (Plurinational State of),2019,3472.38,31
Brazil,2019,8845.26,28
Bulgaria,2019,9879.33,19
Cambodia,2019,1671.39,24
Cameroon,2019,1538.69,33
Canada,2019,46328.67,55
Chile,2019,14631.95,37
China,2019,10143.84,16
Colombia,2019,6438.06,35
Costa Rica,2019,12669.34,38
Croatia,2019,15331.88,21
Cyprus,2019,29417.14,41
Czechia,2019,23664.85,22
Denmark,2019,59592.98,44
Dominican Republic,2019,8173.34,39
Ecuador,2019,6233.26,24
El Salvador,2019,4280.29,25
Estonia,2019,23424.48,25
Finland,2019,48629.86,41
France,2019,40494.9,30
Gabon,2019,7523.86,27
Georgia,2019,4696.15,21
Germany,2019,46793.69,43
Ghana,2019,2167.91,38
Greece,2019,19144.28,16
Hungary,2019,16782.95,23
India,2019,2047.23,26
Indonesia,2019,4151.23,50
Iraq,2019,5621.18,34
Ireland,2019,80927.07,56
Israel,2019,44452.23,39
Italy,2019,33673.75,33
Japan,2019,40458,23
Jordan,2019,4205.56,25
Kazakhstan,2019,9812.6,26
Kenya,2019,1970.11,47
Latvia,2019,17945.22,22
Lebanon,2019,8985.57,30
Lithuania,2019,19595.14,19
Mali,2019,840.18,24
Malta,2019,31198.24,47
Mexico,2019,10145.17,28
Mongolia,2019,4394.95,38
Morocco,2019,3498.57,26
Myanmar,2019,1295.2,58
Nepal,2019,1185.68,33
Netherlands,2019,52476.27,53
New Zealand,2019,42865.23,57
Nicaragua,2019,1890.27,30
Nigeria,2019,2204.18,42
Pakistan,2019,1437.17,29
Paraguay,2019,5807.84,32
Peru,2019,6955.81,28
Philippines,2019,3413.85,39
Poland,2019,15699.91,25
Portugal,2019,23330.82,25
Romania,2019,12958.08,24
Russian Federation,2019,11536.25,21
Saudi Arabia,2019,22430.24,34
Senegal,2019,1462.35,28
Serbia,2019,7417.2,19
Slovakia,2019,19383.48,25
Slovenia,2019,26016.08,38
South Africa,2019,6688.79,36
Spain,2019,29581.52,32
Sri Lanka,2019,4082.69,51
Sweden,2019,51939.43,40
Switzerland,2019,84121.93,45
Tajikistan,2019,889.02,36
Thailand,2019,7630.04,42
Tunisia,2019,3477.88,24
Uganda,2019,823.14,38
Ukraine,2019,3661.46,24
United Arab Emirates,2019,45376.17,45
United Kingdom of Great Britain and Northern Ireland,2019,42747.08,54
Uruguay,2019,17859.93,30
Uzbekistan,2019,1784.01,41
Zambia,2019,1268.12,39
Zimbabwe,2019,1421.87,29
Albania,2021,6492.87,33
