Country,2017,2018,2020,2021,2022,CAF_2017,CAF_2018,CAF_2020,CAF_2021
Africa Eastern and Southern,1613.79,1550.18,1353.77,1537.34,,,,,
Africa Western and Central,1585.91,1731.31,1683.44,1757.03,,,,,
Arab World,6132.43,6474.3,5544.63,6266.36,,,,,
Caribbean small states,10075.83,10353.12,8851.42,10063.69,,,,,
Central Europe and the Baltics,14224.86,16086.32,16293.8,18751.03,,,,,
Early-demographic dividend,3472.7,3467.18,3214.58,3702.69,,,,,
East Asia & Pacific,10452.72,11310.5,11475.46,13041.78,,,,,
East Asia & Pacific (excluding high income),7149.21,7944.55,8262.48,9771.65,,,,,
East Asia & Pacific (IDA & IBRD countries),7228.76,8032.8,8354.07,9880.1,,,,,
Euro area,37157.11,40045.57,38159.73,42450.15,,,,,
Europe & Central Asia,23643.4,25243.79,23984.28,27152.47,,,,,
Europe & Central Asia (excluding high income),7864.65,7994.78,7441.47,8758.94,,,,,
Europe & Central Asia (IDA & IBRD countries),8532.43,8870.4,8423.2,9842.05,,,,,
European Union,33089.23,35751.22,34330.37,38411.06,,,,,
Fragile and conflict affected situations,1795.57,1847.08,1705.63,1784.73,,,,,
Heavily indebted poor countries (HIPC),1049.99,972.56,958.67,1035.89,,,,,
High income,42081.11,44527.61,43415.68,48225.24,,,,,
IBRD only,6023.29,6352.35,6149.37,7221.41,,,,,
IDA & IBRD total,4837.05,5074.96,4887.27,5682.47,,,,,
IDA blend,1751.51,1874.95,1719.9,1842.77,,,,,
IDA only,1145.34,1115.49,1143.31,1216.37,,,,,
IDA total,1349.77,1371.08,1336.56,1426.03,,,,,
Late-demographic dividend,9021.97,9839.47,9706.84,11465.86,,,,,
Latin America & Caribbean,9201.47,8916.09,7289.96,8327.61,,,,,
Latin America & Caribbean (excluding high income),8729.18,8384.85,6789.39,7728.03,,,,,
Latin America & the Caribbean (IDA & IBRD countries),9050.94,8754.29,7081.45,8108.92,,,,,
Least developed countries: UN classification,1104.77,1063.34,1082.59,1150.03,,,,,
Low & middle income,4678.54,4898.95,4722.09,5491.92,,,,,
Low income,819.64,686.58,669.66,704.51,,,,,
Lower middle income,2297.95,2323.93,2268.98,2572.71,,,,,
Middle East & North Africa,7251.83,7476.77,6490.44,7562.83,,,,,
Middle East & North Africa (excluding high income),3739.15,3491.19,3091.59,3565.24,,,,,
Middle East & North Africa (IDA & IBRD countries),3740.52,3490.37,3089.91,3564.07,,,,,
Middle income,5116.24,5384.0,5206.17,6074.08,,,,,
North America,58423.89,61174.78,61451.98,68369.66,,,,,
Not classified,,,,,,,,,
OECD members,37403.39,39348.31,38326.86,42446.86,,,,,
Other small states,12894.08,14062.5,11683.19,13878.81,,,,,
Pacific island small states,4128.47,4283.74,3707.31,3643.85,,,,,
Post-demographic dividend,42968.45,45382.31,44474.55,49223.6,,,,,
Pre-demographic dividend,1428.32,1447.04,1331.08,1411.46,,,,,
Small states,11854.02,12808.19,10702.96,12588.93,,,,,
South Asia,1887.92,1920.21,1852.3,2149.82,,,,,
South Asia (IDA & IBRD),1887.92,1920.21,1852.3,2149.82,,,,,
Sub-Saharan Africa,1602.49,1623.58,1487.26,1626.28,,,,,
Sub-Saharan Africa (excluding high income),1601.16,1622.22,1486.29,1625.18,,,,,
Sub-Saharan Africa (IDA & IBRD countries),1602.49,1623.58,1487.26,1626.28,,,,,
Upper middle income,8820.95,9435.78,9157.82,10828.05,,,,,
World,10741.49,11284.18,10881.7,12234.8,,,,,
Afghanistan,530.15,502.06,516.87,368.75,2390.0,19.0,31.0,,21.0
Albania,4531.02,5287.66,5332.16,6492.87,14218.0,26.0,23.0,33.0,34.0
Algeria,4134.94,4171.8,3337.25,3690.63,11112.0,28.0,,31.0,30.0
American Samoa,12372.88,13195.94,15501.53,15743.31,,,,,
Andorra,40632.48,42903.44,37207.49,42137.33,,,,,
Angola,2283.21,2487.5,1603.99,1953.53,6932.0,,,,
Antigua and Barbuda,16110.56,17527.17,14787.64,15781.4,18618.0,,,,
Argentina,14613.04,11795.16,8496.42,10636.12,20751.0,28.0,28.0,32.0,47.0
Armenia,4042.0,4391.92,4505.87,4966.51,13261.0,23.0,21.0,,29.0
Aruba,29326.71,30220.59,24487.86,29342.1,29090.0,,,,
Australia,53936.14,57207.87,51720.37,60443.11,51680.0,59.0,56.0,49.0,55.0
Austria,47429.16,51466.56,48809.23,53637.71,55218.0,44.0,45.0,34.0,45.0
Azerbaijan,4147.09,4739.84,4229.91,5388.0,14431.0,18.0,24.0,,
"Bahamas, The",30969.88,31738.27,23862.71,27478.39,,,,,
Bahrain,24349.91,25415.85,23501.92,26562.97,48766.0,53.0,,45.0,
Bangladesh,1815.61,1963.41,2233.31,2457.92,5307.0,31.0,26.0,33.0,
Barbados,17843.2,18224.89,16643.81,17225.46,13553.0,,,,
Belarus,5785.67,6360.06,6542.8,7302.26,20187.0,23.0,25.0,,
Belgium,44198.48,47544.98,45517.79,51247.01,51096.0,41.0,36.0,21.0,
Belize,6100.99,6059.16,5266.88,6228.27,6046.0,,,,
Benin,1095.27,1194.44,1237.95,1319.15,3437.0,26.0,23.0,29.0,32.0
Bermuda,111820.58,113050.74,107791.89,114090.33,,,,,
Bhutan,3240.7,3210.71,3009.92,3266.36,12060.0,,,,
Bolivia (Plurinational State of),3280.01,3471.01,3068.81,3345.2,8344.0,28.0,31.0,35.0,43.0
Bosnia and Herzegovina,5255.81,5936.1,6012.06,7143.31,15047.0,28.0,,,44.0
Botswana,6705.35,6947.8,5863.2,6805.22,16893.0,27.0,30.0,,
Brazil,9896.68,9121.08,6794.49,7507.16,14916.0,23.0,28.0,35.0,47.0
Virgin Islands (British),,,,,,,,,
Brunei Darussalam,28186.8,31241.45,27179.41,31449.08,62371.0,,,,
Bulgaria,8366.29,9446.72,10129.81,12221.5,23817.0,22.0,19.0,37.0,41.0
Burkina Faso,711.18,779.2,833.24,893.08,2262.0,29.0,25.0,,39.0
Burundi,243.14,231.45,216.83,221.48,760.0,,,,
Cabo Verde,3132.62,3442.74,2924.1,3293.23,,,,,
Cambodia,1400.9,1533.32,1577.91,1625.24,4695.0,18.0,24.0,28.0,19.0
Cameroon,1479.86,1594.06,1539.13,1666.93,3646.0,34.0,33.0,43.0,37.0
Canada,45129.43,46548.64,43258.26,51987.94,48720.0,49.0,55.0,38.0,51.0
Cayman Islands,81258.04,85234.84,83329.46,86568.77,,,,,
Central African Republic,414.74,435.93,435.47,461.14,979.0,32.0,,,
Chad,662.9,720.27,643.77,685.69,1611.0,27.0,25.0,,
Channel Islands,,,,,,,,,
Chile,15045.53,15795.71,13094.46,16265.1,23366.0,34.0,37.0,39.0,38.0
China,8816.99,9905.34,10408.67,12556.33,17192.0,17.0,16.0,28.0,42.0
Colombia,6450.32,6782.04,5307.22,6104.14,14324.0,29.0,35.0,35.0,42.0
Comoros,1414.59,1531.34,1519.59,1577.47,3048.0,,,,
"Congo, Democratic Republic of the",451.09,546.21,524.67,577.21,1106.0,35.0,,,
Congo,2088.5,2512.38,1838.45,2290.38,4188.0,24.0,27.0,35.0,
Costa Rica,12118.13,12383.15,12132.88,12472.44,19990.0,34.0,38.0,30.0,44.0
Côte d'Ivoire,2076.15,2275.5,2288.12,2549.04,5365.0,25.0,,,
Croatia,13655.82,15244.43,14198.75,17685.33,27717.0,20.0,21.0,30.0,37.0
Cuba,8543.36,8831.91,9499.59,,,,,,
Curaçao,18788.81,18956.1,16109.86,17717.6,,,,,
Cyprus,26697.17,29418.94,28036.19,31551.82,40107.0,43.0,41.0,32.0,40.0
Czechia,20636.2,23424.48,22992.88,26821.25,40618.0,22.0,22.0,30.0,48.0
Denmark,57610.1,61591.93,60915.42,68007.76,58932.0,46.0,44.0,37.0,46.0
Djibouti,2655.73,2755.84,2918.0,3150.44,5096.0,,,,
Dominica,7408.09,7833.2,7003.47,7653.17,11072.0,,,,
Dominican Republic,7513.49,7947.16,7167.92,8476.75,18608.0,39.0,39.0,39.0,44.0
Ecuador,6246.4,6321.35,5645.2,5965.13,11009.0,24.0,24.0,29.0,42.0
"Egypt, Arab Rep.",2315.9,2407.09,3398.8,3698.83,,,,,
El Salvador,3986.05,4145.86,3903.4,4551.18,8422.0,22.0,25.0,31.0,36.0
Equatorial Guinea,8410.4,8719.19,6327.6,7506.67,17788.0,,,,
Eritrea,,,,,1821.0,,,,
Estonia,20437.77,23165.85,23595.24,27943.7,38834.0,26.0,25.0,30.0,40.0
Eswatini,3824.05,4020.27,3372.9,3978.4,8957.0,,,,
Ethiopia,755.75,758.3,918.65,925.08,2908.0,27.0,26.0,44.0,
Faroe Islands,59328.17,62576.99,61980.29,69010.31,,,,,
