Country,Median_Age_2022,Total_Population_2022,CAF_2018,CAF_2019,CAF_2021,CAF_2022
China,38,1439323776,17.0,16.0,28.0,42.0
India,28,1380004385,22.0,26.0,44.0,40.0
United States of America,38,331002651,58.0,58.0,,59.0
Indonesia,30,273523615,59.0,50.0,69.0,68.0
Pakistan,23,220892340,28.0,29.0,25.0,29.0
Brazil,33,212559417,23.0,28.0,35.0,47.0
Nigeria,18,206139589,48.0,42.0,52.0,48.0
Bangladesh,28,164689383,31.0,26.0,33.0,
Russian Federation,40,145934462,25.0,21.0,33.0,46.0
Mexico,29,128932753,24.0,28.0,32.0,44.0
Japan,48,126476461,22.0,23.0,12.0,20.0
Ethiopia,19,114963588,27.0,26.0,44.0,
Philippines,26,109581078,28.0,39.0,33.0,47.0
Egypt,25,102334404,26.0,23.0,33.0,23.0
Viet Nam,32,97338579,,,,
"Congo, Democratic Republic of the",17,89561403,35.0,,,
Türkiye,32,84339067,20.0,,31.0,40.0
Iran (Islamic Republic of),32,83992949,45.0,41.0,39.0,43.0
Germany,46,83783942,46.0,43.0,30.0,41.0
Thailand,40,69799978,34.0,42.0,46.0,48.0
United Kingdom of Great Britain and Northern Ireland,40,67886011,55.0,54.0,41.0,47.0
France,42,65273511,32.0,30.0,25.0,32.0
Italy,47,60461826,33.0,33.0,22.0,29.0
"Tanzania, United Republic of",18,59734218,28.0,,,
South Africa,28,59308690,41.0,36.0,41.0,35.0
Myanmar,29,54409800,54.0,58.0,51.0,52.0
Kenya,20,53771296,54.0,47.0,58.0,61.0
"Korea, Republic of",44,51269185,34.0,32.0,22.0,
Colombia,31,50882891,29.0,35.0,35.0,42.0
Spain,45,46754778,36.0,32.0,27.0,32.0
Uganda,17,45741007,39.0,38.0,46.0,46.0
Argentina,32,45195774,28.0,28.0,32.0,47.0
Algeria,29,43851044,28.0,,31.0,30.0
Sudan,20,43849260,,,,
Ukraine,41,43733762,29.0,24.0,43.0,49.0
Iraq,21,40222493,43.0,34.0,39.0,37.0
Afghanistan,18,38928346,19.0,31.0,,21.0
Poland,42,37846611,24.0,25.0,38.0,47.0
Canada,41,37742154,49.0,55.0,38.0,51.0
Morocco,30,36910560,26.0,26.0,23.0,31.0
Saudi Arabia,32,34813871,37.0,34.0,35.0,36.0
Uzbekistan,28,33469203,36.0,41.0,40.0,38.0
Peru,31,32971854,27.0,28.0,34.0,39.0
Angola,17,32866272,,,,
Malaysia,30,32365999,,,,
Mozambique,18,31255435,29.0,,,34.0
Ghana,22,31072940,42.0,38.0,47.0,43.0
Yemen,20,29825964,15.0,17.0,,
Nepal,25,29136808,37.0,33.0,40.0,40.0
Venezuela (Bolivarian Republic of),30,28435940,26.0,23.0,35.0,45.0
Madagascar,20,27691018,27.0,21.0,,
Cameroon,19,26545863,34.0,33.0,43.0,37.0
Côte d'Ivoire,19,26378274,25.0,,,
North Korea,35,25778816,,,,
Australia,38,25499884,59.0,56.0,49.0,55.0
Niger,15,24206644,32.0,24.0,,
"Taiwan, Province of China",42,23816775,34.0,,,
Sri Lanka,34,21413249,45.0,51.0,34.0,44.0
Burkina Faso,18,20903273,29.0,25.0,,39.0
Mali,16,20250833,28.0,24.0,31.0,38.0
Romania,43,19237691,27.0,24.0,28.0,30.0
Malawi,18,19129952,35.0,38.0,,39.0
Chile,35,19116201,34.0,37.0,39.0,38.0
Kazakhstan,31,18776707,28.0,26.0,28.0,34.0
Zambia,18,18383955,46.0,39.0,43.0,50.0
Guatemala,23,17915568,34.0,40.0,,
Ecuador,28,17643054,24.0,24.0,29.0,42.0
Syrian Arab Republic,26,17500658,,,,
Netherlands,43,17134872,51.0,53.0,37.0,46.0
Senegal,19,16743927,28.0,28.0,35.0,40.0
Cambodia,26,16718965,18.0,24.0,28.0,19.0
Chad,17,16425864,27.0,25.0,,
Somalia,17,15893222,,,,
Zimbabwe,19,14862924,30.0,29.0,37.0,31.0
Guinea,18,13132795,32.0,34.0,,47.0
Rwanda,20,12952218,26.0,21.0,,
Benin,19,12123200,26.0,23.0,29.0,32.0
Burundi,17,11890784,,,,
Tunisia,33,11818619,20.0,24.0,29.0,28.0
Bolivia (Plurinational State of),26,11673021,28.0,31.0,35.0,43.0
Belgium,42,11589623,41.0,36.0,21.0,
Haiti,24,11402528,49.0,40.0,,
Cuba,42,11326616,,,,
South Sudan,19,11193725,39.0,,,
Dominican Republic,28,10847910,39.0,39.0,39.0,44.0
Czechia,43,10708981,22.0,22.0,30.0,48.0
Greece,46,10423054,17.0,16.0,26.0,32.0
Jordan,24,10203134,30.0,25.0,26.0,32.0
Portugal,46,10196709,28.0,25.0,20.0,26.0
Azerbaijan,32,10139177,18.0,24.0,,
Sweden,41,10099265,41.0,40.0,34.0,42.0
Honduras,24,9904607,39.0,36.0,,46.0
United Arab Emirates,33,9890402,51.0,45.0,44.0,47.0
Hungary,43,9660351,23.0,23.0,31.0,40.0
Tajikistan,22,9537645,42.0,36.0,45.0,39.0
Belarus,40,9449323,23.0,25.0,,
Austria,43,9006398,44.0,45.0,34.0,45.0
Papua New Guinea,22,8947024,,,,
Serbia,42,8737371,21.0,19.0,35.0,46.0
Israel,30,8655535,42.0,39.0,28.0,37.0
Switzerland,43,8654622,45.0,45.0,28.0,37.0
Togo,19,8278724,24.0,,,34.0
Sierra Leone,19,7976983,47.0,42.0,,51.0
Hong Kong,45,7496981,44.0,,26.0,37.0
Lao People's Democratic Republic,24,7275560,20.0,,,
Paraguay,26,7132538,34.0,32.0,41.0,44.0
Bulgaria,45,6948445,22.0,19.0,37.0,41.0
Libya,29,6871292,45.0,,,
Lebanon,30,6825445,28.0,30.0,24.0,24.0
Nicaragua,26,6624554,33.0,30.0,37.0,40.0
Kyrgyzstan,26,6524195,36.0,33.0,38.0,44.0
El Salvador,28,6486205,22.0,25.0,31.0,36.0
Turkmenistan,27,6031200,40.0,43.0,,
Singapore,42,5850342,54.0,35.0,,45.0
Denmark,42,5792202,46.0,44.0,37.0,46.0
Finland,43,5540720,40.0,41.0,31.0,37.0
Congo,19,5518087,24.0,27.0,35.0,
Slovakia,41,5459642,28.0,25.0,32.0,41.0
Norway,40,5421241,50.0,,36.0,45.0
Oman,31,5106626,,,,
"Palestine, State of",21,5101414,17.0,,,
Costa Rica,33,5094118,34.0,38.0,30.0,44.0
Liberia,19,5057681,47.0,44.0,,
Ireland,38,4937786,56.0,56.0,40.0,49.0
Central African Republic,18,4829767,32.0,,,
New Zealand,38,4822233,58.0,57.0,47.0,54.0
Mauritania,20,4649658,20.0,25.0,,
Panama,30,4314767,30.0,35.0,,36.0
Kuwait,37,4270571,43.0,,,
Croatia,44,4105267,20.0,21.0,30.0,37.0
"Moldova, Republic of",38,4033963,27.0,26.0,,
Georgia,38,3989167,24.0,21.0,40.0,31.0
Eritrea,19,3546421,,,,
Uruguay,36,3473730,30.0,30.0,32.0,40.0
Bosnia and Herzegovina,43,3280819,28.0,,,44.0
Mongolia,28,3278290,39.0,38.0,44.0,46.0
Armenia,35,2963243,23.0,21.0,,29.0
Jamaica,31,2961167,36.0,,34.0,46.0
Qatar,32,2881053,,,,
Albania,36,2877797,26.0,23.0,33.0,34.0
Puerto Rico,44,2860853,,,,
Lithuania,45,2722289,19.0,19.0,28.0,37.0
Namibia,22,2540905,32.0,,37.0,35.0
Gambia,18,2416668,44.0,,,
Botswana,24,2351627,27.0,30.0,,
Gabon,23,2225734,24.0,27.0,26.0,34.0
Lesotho,24,2142249,28.0,,,
North Macedonia,39,2083374,20.0,,,
Slovenia,45,2078938,39.0,38.0,28.0,39.0
Guinea-Bissau,19,1968001,,,,
Latvia,44,1886198,19.0,22.0,25.0,29.0
Bahrain,32,1701575,53.0,,45.0,
Equatorial Guinea,22,1402985,,,,
Trinidad and Tobago,36,1399488,46.0,,,
Estonia,42,1326535,26.0,25.0,30.0,40.0
Timor-Leste,21,1318445,,,,
Mauritius,37,1271768,46.0,,34.0,37.0
Cyprus,37,1207359,43.0,41.0,32.0,40.0
Eswatini,21,1160164,,,,
Djibouti,27,988000,,,,
Fiji,28,896445,,,,
Réunion,36,895312,,,,
Comoros,20,869601,,,,
Guyana,27,786552,,,,
Bhutan,28,771608,,,,
Solomon Islands,20,686884,,,,
Macao,39,649335,,,,
Montenegro,39,628066,24.0,20.0,34.0,
Luxembourg,40,625978,41.0,40.0,,
Western Sahara,28,597339,,,,
Suriname,29,586632,,,,
Cabo Verde,28,555987,,,,
Micronesia (Federated States of),27,548914,,,,
Maldives,30,540544,,,,
Malta,43,441543,47.0,47.0,31.0,45.0
Brunei Darussalam,32,437479,,,,
Guadeloupe,44,400124,,,,
Belize,25,397628,,,,
Bahamas,32,393244,,,,
Martinique,47,375265,,,,
Iceland,37,341243,48.0,,36.0,46.0
Vanuatu,21,307145,,,,
French Guiana,25,298682,,,,
Barbados,40,287375,,,,
New Caledonia,34,285498,,,,
French Polynesia,34,280908,,,,
Mayotte,20,272815,,,,
Sao Tome and Principe,19,219159,,,,
Samoa,22,198414,,,,
Saint Lucia,34,183627,,,,
Channel Islands,43,173863,,,,
Guam,31,168775,,,,
Curaçao,42,164093,,,,
Kiribati,23,119449,,,,
Grenada,32,112523,,,,
Saint Vincent and the Grenadines,33,110940,,,,
Aruba,41,106766,,,,
Tonga,22,105695,,,,
Virgin Islands (U.S.),43,104425,,,,
Seychelles,34,98347,,,,
Antigua and Barbuda,34,97929,,,,
