Country,MedianAge,TotalPopulation,CAF
China,38,1439323776,42.0
India,28,1380004385,40.0
United States of America,38,331002651,59.0
Indonesia,30,273523615,68.0
Pakistan,23,220892340,29.0
Brazil,33,212559417,47.0
Nigeria,18,206139589,48.0
Bangladesh,28,164689383,
Russian Federation,40,145934462,46.0
Mexico,29,128932753,44.0
Japan,48,126476461,20.0
Ethiopia,19,114963588,
Philippines,26,109581078,47.0
Egypt,25,102334404,23.0
Viet Nam,32,97338579,
"Congo, Democratic Republic of the",17,89561403,
Türkiye,32,84339067,40.0
Iran (Islamic Republic of),32,83992949,43.0
Germany,46,83783942,41.0
Thailand,40,69799978,48.0
United Kingdom of Great Britain and Northern Ireland,40,67886011,47.0
France,42,65273511,32.0
Italy,47,60461826,29.0
"Tanzania, United Republic of",18,59734218,
South Africa,28,59308690,35.0
Myanmar,29,54409800,52.0
Kenya,20,53771296,61.0
"Korea, Republic of",44,51269185,
Colombia,31,50882891,42.0
Spain,45,46754778,32.0
Uganda,17,45741007,46.0
Argentina,32,45195774,47.0
Algeria,29,43851044,30.0
Sudan,20,43849260,
Ukraine,41,43733762,49.0
Iraq,21,40222493,37.0
Afghanistan,18,38928346,21.0
Poland,42,37846611,47.0
Canada,41,37742154,51.0
Morocco,30,36910560,31.0
Saudi Arabia,32,34813871,36.0
Uzbekistan,28,33469203,38.0
Peru,31,32971854,39.0
Angola,17,32866272,
Malaysia,30,32365999,
Mozambique,18,31255435,34.0
Ghana,22,31072940,43.0
Yemen,20,29825964,
Nepal,25,29136808,40.0
Venezuela (Bolivarian Republic of),30,28435940,45.0
Madagascar,20,27691018,
Cameroon,19,26545863,37.0
Côte d'Ivoire,19,26378274,
North Korea,35,25778816,
Australia,38,25499884,55.0
Niger,15,24206644,
"Taiwan, Province of China",42,23816775,
Sri Lanka,34,21413249,44.0
Burkina Faso,18,20903273,39.0
Mali,16,20250833,38.0
Romania,43,19237691,30.0
Malawi,18,19129952,39.0
Chile,35,19116201,38.0
Kazakhstan,31,18776707,34.0
Zambia,18,18383955,50.0
Guatemala,23,17915568,
