Country,CAF,Religiosity
Indonesia,68.0,96.0
Australia,55.0,33.0
New Zealand,54.0,18.0
United States of America,59.0,67.0
Ireland,49.0,54.0
United Kingdom of Great Britain and Northern Ireland,47.0,25.0
Singapore,45.0,70.0
Kenya,61.0,94.0
Myanmar,52.0,96.0
Bahrain,,94.0
Netherlands,46.0,33.0
United Arab Emirates,47.0,76.0
Norway,45.0,22.0
Haiti,,85.0
Canada,51.0,22.0
Nigeria,48.0,77.0
Iceland,46.0,
Malta,45.0,86.0
Liberia,,94.0
Sierra Leone,51.0,
Zambia,50.0,95.0
Germany,41.0,40.0
Trinidad and Tobago,,92.0
Denmark,46.0,19.0
Mauritius,37.0,
Switzerland,37.0,23.0
Sri Lanka,44.0,97.0
Libya,,
Iran (Islamic Republic of),43.0,78.0
Hong Kong,37.0,24.0
Gambia,,
Austria,45.0,17.0
Kuwait,,91.0
Iraq,37.0,89.0
Cyprus,40.0,25.0
Tajikistan,39.0,85.0
Ghana,43.0,95.0
Israel,37.0,51.0
Belgium,,33.0
South Africa,35.0,85.0
Luxembourg,,39.0
Sweden,42.0,16.0
Turkmenistan,,80.0
Finland,37.0,23.0
Mongolia,46.0,
Honduras,46.0,
Slovenia,39.0,47.0
South Sudan,,
Dominican Republic,44.0,87.0
Uganda,46.0,93.0
Saudi Arabia,36.0,96.0
Nepal,40.0,93.0
Uzbekistan,38.0,55.0
Spain,32.0,49.0
Kyrgyzstan,44.0,72.0
Jamaica,46.0,70.0
Malawi,39.0,97.0
"Congo, Democratic Republic of the",,94.0
Paraguay,44.0,92.0
"Korea, Republic of",,33.0
Chile,38.0,60.0
Thailand,48.0,98.0
Costa Rica,44.0,79.0
Cameroon,37.0,96.0
"Taiwan, Province of China",,40.0
Guatemala,,88.0
Kosovo,43.0,
Nicaragua,40.0,70.0
Italy,29.0,72.0
Central African Republic,,94.0
Guinea,47.0,96.0
Niger,,98.0
France,32.0,30.0
Namibia,35.0,92.0
Bangladesh,,96.0
Jordan,32.0,96.0
Zimbabwe,31.0,88.0
Uruguay,40.0,40.0
Panama,36.0,88.0
Mozambique,34.0,86.0
Colombia,42.0,83.0
Ukraine,49.0,46.0
Burkina Faso,39.0,88.0
Portugal,26.0,72.0
"Tanzania, United Republic of",,89.0
Lebanon,24.0,87.0
Bolivia (Plurinational State of),43.0,89.0
Senegal,40.0,96.0
Slovakia,41.0,47.0
Philippines,47.0,77.0
Bosnia and Herzegovina,44.0,75.0
Pakistan,29.0,92.0
Algeria,30.0,95.0
Mali,38.0,95.0
Argentina,47.0,65.0
Lesotho,,
Kazakhstan,34.0,53.0
Botswana,,77.0
Ethiopia,,
"Moldova, Republic of",,21.0
Madagascar,,93.0
Peru,39.0,84.0
Chad,,95.0
Romania,30.0,84.0
Rwanda,,95.0
Morocco,31.0,96.0
Benin,32.0,93.0
Egypt,23.0,96.0
Venezuela (Bolivarian Republic of),45.0,79.0
Albania,34.0,50.0
Estonia,40.0,16.0
Russian Federation,46.0,34.0
Côte d'Ivoire,,
Poland,47.0,50.0
Gabon,34.0,
Mexico,44.0,73.0
Congo,,95.0
Montenegro,,71.0
Togo,34.0,80.0
Georgia,31.0,81.0
Ecuador,42.0,82.0
Hungary,40.0,39.0
Belarus,,34.0
Brazil,47.0,85.0
Armenia,29.0,79.0
India,40.0,90.0
Czechia,48.0,16.0
Bulgaria,41.0,34.0
El Salvador,36.0,77.0
Japan,20.0,14.0
Serbia,46.0,54.0
North Macedonia,,76.0
Türkiye,40.0,
Croatia,37.0,70.0
Mauritania,,97.0
Lao People's Democratic Republic,,96.0
Tunisia,28.0,93.0
Afghanistan,21.0,97.0
Latvia,29.0,29.0
Lithuania,37.0,40.0
Azerbaijan,,36.0
Cambodia,19.0,96.0
"Palestine, State of",,93.0
China,42.0,
Greece,32.0,71.0
Yemen,,98.0
