Country,CAF,Religiosity
Indonesia,68,96
Australia,55,33
New Zealand,54,18
United States of America,59,67
Ireland,49,54
United Kingdom of Great Britain and Northern Ireland,47,25
Singapore,45,70
Kenya,61,94
Myanmar,52,96
Bahrain,,94
Netherlands,46,33
United Arab Emirates,47,76
Norway,45,22
Haiti,,85
Canada,51,22
Nigeria,48,77
Iceland,46,
Malta,45,86
Liberia,,94
Sierra Leone,51,
Zambia,50,95
Germany,41,40
Trinidad and Tobago,92,
Denmark,46,19
Mauritius,37,
Switzerland,37,23
Sri Lanka,44,97
Libya,,
Iran (Islamic Republic of),43,78
Hong Kong,37,24
Gambia,,
Austria,45,17
Kuwait,,91
Iraq,37,89
Cyprus,40,25
Tajikistan,39,85
Ghana,43,95
Israel,37,51
Belgium,,33
South Africa,35,85
Luxembourg,,39
Sweden,42,16
Turkmenistan,80,
Finland,37,23
Mongolia,46,
Honduras,46,
Slovenia,39,47
South Sudan,,
Dominican Republic,44,87
Uganda,46,93
Saudi Arabia,36,96
Nepal,40,93
Uzbekistan,38,55
Spain,32,49
Kyrgyzstan,44,72
Jamaica,46,70
Malawi,39,97
"Congo, Democratic Republic of the",94,
Paraguay,44,92
"Korea, Republic of",33,
Chile,38,60
Thailand,48,98
Costa Rica,44,79
Cameroon,37,96
"Taiwan, Province of China",40,
Guatemala,,88
Kosovo,43,
Nicaragua,40,70
Italy,29,72
Central African Republic,94,
Guinea,47,96
Niger,,98
France,32,30
Namibia,35,92
Bangladesh,,96
Jordan,32,96
Zimbabwe,31,88
Uruguay,40,40
Panama,36,88
Mozambique,34,86
Colombia,42,83
Ukraine,49,46
Burkina Faso,39,88
Portugal,26,72
"Tanzania, United Republic of",89,
Lebanon,24,87
Bolivia (Plurinational State of),43,89
Senegal,40,96
Slovakia,41,47
Philippines,47,77
Bosnia and Herzegovina,44,75
Pakistan,29,92
Algeria,30,95
Mali,38,95
Argentina,47,65
Lesotho,,
Kazakhstan,34,53
Botswana,,77
Ethiopia,,
"Moldova, Republic of",21,
Madagascar,,93
Peru,39,84
Chad,,95
Romania,30,84
Rwanda,,95
Morocco,31,96
Benin,32,93
Egypt,23,96
Venezuela (Bolivarian Republic of),45,79
Albania,34,50
Estonia,40,16
Russian Federation,46,34
Côte d'Ivoire,,
Poland,47,50
Gabon,34,
Mexico,44,73
Congo,,95
Montenegro,,71
Togo,34,80
Georgia,31,81
Ecuador,42,82
Hungary,40,39
Belarus,,34
Brazil,47,85
Armenia,29,79
India,40,90
Czechia,48,16
Bulgaria,41,34
El Salvador,36,77
Japan,20,14
Serbia,46,54
North Macedonia,76,
Türkiye,40,
Croatia,37,70
Mauritania,,97
Lao People's Democratic Republic,96,
Tunisia,28,93
Afghanistan,21,97
Latvia,29,29
Lithuania,37,40
Azerbaijan,,36
Cambodia,19,96
"Palestine, State of",93,
China,42,
Greece,32,71
Yemen,,98
