Country,GDPpc_2022
Luxembourg,118001
Singapore,97057
Ireland,94392
Qatar,93508
Switzerland,72874
Norway,65800
United States of America,63416
Brunei Darussalam,62371
Hong Kong,59520
Denmark,58932
United Arab Emirates,58753
San Marino,58427
Netherlands,57534
Macao,56078
"Taiwan, Province of China",55724
Iceland,55596
Austria,55218
Sweden,54146
Germany,54076
Australia,51680
Belgium,51096
Finland,49853
Bahrain,48766
Canada,48720
Saudi Arabia,46811
France,46062
"Korea, Republic of",44621
United Kingdom of Great Britain and Northern Ireland,44117
Malta,42856
Japan,42248
New Zealand,42018
Kuwait,41627
Italy,40861
Czechia,40618
Israel,40547
Cyprus,40107
Slovenia,40067
Spain,39121
Estonia,38834
Lithuania,38824
Poland,34103
Portugal,34043
Puerto Rico,34025
Hungary,33030
Slovakia,32709
Latvia,31509
Romania,30526
Türkiye,30253
Oman,30178
Aruba,29090
Greece,28748
Russian Federation,27903
Croatia,27717
Malaysia,27402
Panama,27003
Kazakhstan,26565
Seychelles,25414
Trinidad and Tobago,25031
Bulgaria,23817
Chile,23366
Uruguay,22459
Argentina,20751
Mauritius,20292
Belarus,20187
Costa Rica,19990
Guyana,19684
Maldives,19609
Serbia,19146
Mexico,19130
Antigua and Barbuda,18618
Dominican Republic,18608
Thailand,18236
Equatorial Guinea,17788
China,17192
Botswana,16893
North Macedonia,16712
Turkmenistan,16520
Gabon,15970
Grenada,15431
Bosnia and Herzegovina,15047
Georgia,14918
Brazil,14916
Suriname,14513
Azerbaijan,14431
Colombia,14324
Palau,14309
Albania,14218
Barbados,13553
Armenia,13261
Sri Lanka,13214
Ukraine,13110
Iran,13073
Paraguay,12881
"Moldova, Republic of",12811
Egypt,12790
Indonesia,12222
Bhutan,12060
South Africa,12032
Peru,11871
Mongolia,11825
Fiji,11567
Lebanon,11564
Algeria,11112
Dominica,11072
Ecuador,11009
Viet Nam,10869
Jordan,10306
Tunisia,10120
Iraq,10003
Jamaica,9975
Nauru,9856
Namibia,9396
Eswatini,8957
Philippines,8452
El Salvador,8422
Bolivia (Plurinational State of),8344
Guatemala,8293
Lao People's Democratic Republic,8111
Morocco,7620
Uzbekistan,7449
Angola,6932
India,6461
Tonga,6191
Belize,6046
Libya,5893
Mauritania,5834
Ghana,5693
Samoa,5653
Nicaragua,5575
Honduras,5450
Côte d'Ivoire,5365
Bangladesh,5307
Myanmar,5242
Nigeria,5187
Venezuela (Bolivarian Republic of),5178
Pakistan,5150
Djibouti,5096
Kyrgyzstan,5036
Kenya,4926
Cambodia,4695
Tuvalu,4497
Congo,4188
Sudan,4098
Nepal,4061
Papua New Guinea,3833
Marshall Islands,3786
Tajikistan,3676
Cameroon,3646
Senegal,3478
Micronesia (Federated States of),3446
Benin,3437
Timor-Leste,3382
Zambia,3342
Comoros,3048
Haiti,2916
Ethiopia,2908
"Tanzania, United Republic of",2821
Lesotho,2718
Zimbabwe,2622
Guinea,2604
Vanuatu,2586
Uganda,2574
Solomon Islands,2455
Mali,2401
Afghanistan,2390
Guinea-Bissau,2348
Rwanda,2337
Gambia,2276
Burkina Faso,2262
Kiribati,2200
Togo,2199
Yemen,1927
Eritrea,1821
Sierra Leone,1725
Chad,1611
Madagascar,1599
Liberia,1557
Mozambique,1277
Niger,1259
"Congo, Democratic Republic of the",1106
Malawi,993
Central African Republic,979
Somalia,925
South Sudan,791
Burundi,760
