Country,Main Religion
Afghanistan,Islam
Albania,Islam
Algeria,Islam
Andorra,Christianity
Angola,Christianity
Antigua and Barbuda,Christianity
Argentina,Christianity
Armenia,Christianity
Australia,Christianity
Austria,Christianity
Azerbaijan,Islam
Bahamas,Christianity
Bahrain,Islam
Bangladesh,Islam
Barbados,Christianity
Belarus,Christianity
Belgium,Christianity
Belize,Christianity
Benin,Christianity
Bhutan,Buddhism
Bolivia,Christianity
Bosnia and Herzegovina,Islam
Botswana,Christianity
Brazil,Christianity
Brunei Darussalam,Islam
Bulgaria,Christianity
Burkina Faso,Islam
Burundi,Christianity
Cabo Verde,Christianity
Cambodia,Buddhism
Cameroon,Christianity
Canada,Christianity
Central African Republic,Christianity
Chad,"Islam approximately 52.1%, Christianity approximately 43.9%"
Chile,Christianity
China,Buddhism
Colombia,Christianity
Comoros,Islam
Congo,Christianity
Costa Rica,Christianity
Côte D’Ivoire,"Christian approximately 44%, Muslim approximately 37.2%"
Croatia,Christianity
Cuba,Christianity
Cyprus,Christianity
Czech Republic,Christianity
Dem. People’s Republic of Korea,Buddhism and Confucianism; religious activities almost nonexistent
Dem. Republic of the Congo,Christianity
Denmark,Christianity
Djibouti,Islam
Dominica,Christianity
Dominican Republic,Christianity
Ecuador,Christianity
Egypt,Islam
El Salvador,Christianity
Equatorial Guinea,Christianity
Eritrea,Christianity
Estonia,Christianity
Eswatini,Christianity
Ethiopia,Christianity
Fiji,Christianity
Finland,Christianity
France,Christianity
Gabon,Christianity
Gambia (Republic of The),Islam
Georgia,Christianity
Germany,Christianity
Ghana,Christianity
Greece,Christianity
Grenada,Christianity
Guatemala,Christianity
Guinea,Islam
Guinea Bissau,Islam
Guyana,Christianity
Haiti,Christianity
Honduras,Christianity
Hungary,Christianity
Iceland,Christianity
India,Hindu
Indonesia,Islam
Iran (Islamic Republic of),Islam
Iraq,Islam
Ireland,Christianity
Israel,Judaism
Italy,Christianity
Jamaica,Christianity
Japan,Shintoism
Jordan,Islam
Kazakhstan,Islam
Kenya,Christianity
Kiribati,Christianity
Kuwait,Islam
Kyrgyzstan,Islam
Lao People’s Dem. Republic,Buddhism
Latvia,Christianity
Lebanon,"Islam approximately 47.8%, Christianity approximately 45.2%"
Lesotho,Christianity
Liberia,Christianity
Libya,Islam
Liechtenstein,Christianity
Lithuania,Christianity
Luxembourg,Christianity
Madagascar,Christianity
Malawi,Christianity
Malaysia,Islam
Maldives,Islam
Mali,Islam
Malta,Christianity
Marshall Islands,Christianity
Mauritania,Islam
Mauritius,Hindu
Mexico,Christianity
Micronesia (Federated States of),"Roman Catholic approximately 50%, Protestant approximately 47%"
Monaco,Christianity
Mongolia,Buddhism
Montenegro,Christianity
Morocco,Islam
Mozambique,Christianity
Myanmar,Buddhism
Namibia,Christianity
Nauru,Christianity
Nepal,Hinduism
Netherlands,Christianity
New Zealand,Christianity
Nicaragua,Christianity
Niger,Islam
Nigeria,"Islam approximately 53.5%, Christian approximately 45.9%"
North Macedonia,Christianity
Norway,Christianity
Oman,Islam
Pakistan,Islam
Palau,Christianity
Panama,Christianity
Papua New Guinea,Christianity
Paraguay,Christianity
Peru,Christianity
Philippines,Christianity
Poland,Christianity
Portugal,Christianity
Qatar,Islam
Republic of Korea,No Religious Affiliation
Republic of Moldova,Christianity
Romania,Christianity
Russian Federation,Christianity
Rwanda,Christianity
Saint Kitts and Nevis,Christianity
Saint Lucia,Christianity
Saint Vincent and the Grenadines,Christianity
Samoa,Christianity
San Marino,Christianity
Sao Tome and Principe,Christianity
Saudi Arabia,Islam
Senegal,Islam
Serbia,Christianity
Seychelles,Christianity
Sierra Leone,Islam
Singapore,Buddhism
Slovakia,Christianity
Slovenia,Christianity
Solomon Islands,Christianity
Somalia,Islam
South Africa,Christianity
South Sudan,Christianity
Spain,Christianity
Sri Lanka,Buddhist
Sudan,Islam
Suriname,Christianity
Sweden,Christianity
Switzerland,Christianity
Syrian Arab Republic,Islam
Tajikistan,Islam
Thailand,Buddhism
Timor-Leste,Christianity
Togo,Christianity
Tonga,Christianity
Trinidad and Tobago,Christianity
Tunisia,Muslim
Turkey,Islam
Turkmenistan,Islam
Tuvalu,Christianity
Uganda,Christianity
Ukraine,Christianity
United Arab Emirates,Islam
United Kingdom,Christianity
United Republic of Tanzania,Christianity
United States of America,Christianity
Uruguay,Christianity
Uzbekistan,Islam
Vanuatu,Christianity
Venezuela,Christianity
Viet Nam,"Vietnamese folk religion, and non-religion/atheism"
Yemen,Islam
Zambia,Christianity
Zimbabwe,Christianity
