Country,Rank,Religiosity
Japan,1,14
Viet Nam,2,15
Estonia,3,16
Czechia,4,16
Sweden,5,16
Austria,6,17
New Zealand,7,18
Denmark,8,19
"Moldova, Republic of",9,21
Norway,10,22
Hong Kong,11,24
Canada,12,22
Finland,13,23
Switzerland,14,23
Cyprus,15,25
United Kingdom of Great Britain and Northern Ireland,16,25
Latvia,17,29
France,18,30
Australia,19,33
Netherlands,20,33
Belgium,21,33
"Korea, Republic of",22,33
Cuba,23,34
Bulgaria,24,34
Russian Federation,25,34
Belarus,26,34
Azerbaijan,27,36
Luxembourg,28,39
Hungary,29,39
"Taiwan, Province of China",30,40
Germany,31,40
Uruguay,32,40
Lithuania,33,40
Ukraine,34,46
Slovenia,35,47
Slovakia,36,47
Spain,37,49
Albania,38,50
Poland,39,50
Israel,40,51
Kazakhstan,41,53
Serbia,42,54
Ireland,43,54
Uzbekistan,44,55
Chile,45,60
Belize,46,62
Türkiye,47,64
Argentina,48,65
United States of America,49,67
Nicaragua,50,70
Croatia,51,70
Singapore,52,70
Jamaica,53,70
Montenegro,54,71
Greece,55,71
Portugal,56,72
Italy,57,72
Kyrgyzstan,58,72
Mexico,59,73
Bosnia and Herzegovina,60,75
United Arab Emirates,61,76
North Macedonia,62,76
Botswana,63,77
Nigeria,65,77
Philippines,66,77
El Salvador,67,77
Iran (Islamic Republic of),68,78
Venezuela (Bolivarian Republic of),69,79
Costa Rica,70,79
Armenia,71,79
Turkmenistan,72,80
Togo,73,80
Georgia,74,81
Ecuador,75,82
Colombia,76,83
Peru,77,84
Romania,78,84
South Africa,79,85
Brazil,80,85
Tajikistan,81,85
Haiti,82,85
Mozambique,83,86
Malta,84,86
Dominican Republic,85,87
Lebanon,86,87
Zimbabwe,87,88
Côte d'Ivoire,88,88
Burkina Faso,89,88
Panama,90,88
Angola,91,88
Guatemala,92,88
"Tanzania, United Republic of",93,89
Bolivia (Plurinational State of),94,89
Syrian Arab Republic,95,89
Iraq,96,89
India,97,90
Kuwait,98,91
Namibia,99,92
Trinidad and Tobago,100,92
Paraguay,101,92
Pakistan,102,92
"Palestine, State of",103,93
Sudan,104,93
Uganda,105,93
Madagascar,106,93
Benin,107,93
Nepal,108,93
Tunisia,109,93
Qatar,110,93
Central African Republic,111,94
Kenya,112,94
Liberia,113,94
"Congo, Democratic Republic of the",114,94
Bahrain,115,94
Ghana,116,95
Zambia,117,95
Algeria,118,95
Chad,119,95
Rwanda,120,95
Congo,121,95
Mali,122,95
Burundi,138,96
Djibouti,139,96
Egypt,123,96
Cameroon,124,96
Malaysia,125,96
Cambodia,127,96
Bangladesh,146,96
Senegal,126,96
Oman,127,96
Jordan,128,96
Saudi Arabia,130,96
Myanmar,131,96
Lao People's Democratic Republic,132,96
Guinea,133,96
Morocco,134,96
Comoros,135,96
Indonesia,136,96
Afghanistan,137,97
Malawi,138,97
Mauritania,139,97
Sri Lanka,140,97
Thailand,141,98
Somalia,142,98
Yemen,143,98
Niger,144,98
