Country,year,CAF_2022,2022
Indonesia,2022,68,Islam
Kenya,2022,61,Christianity
United States of America,2022,59,Christianity
Australia,2022,55,Christianity
New Zealand,2022,54,Christianity
Myanmar,2022,52,Buddhism
Sierra Leone,2022,51,Islam
Canada,2022,51,Christianity
Zambia,2022,50,Christianity
Ukraine,2022,49,Christianity
Ireland,2022,49,Christianity
Thailand,2022,48,Buddhism
Czech Republic,2022,48,Christianity
Nigeria,2022,48,Islam
United Arab Emirates,2022,47,Islam
Poland,2022,47,Christianity
United Kingdom,2022,47,Christianity
Brazil,2022,47,Christianity
Guinea,2022,47,Islam
Philippines,2022,47,Christianity
Argentina,2022,47,Christianity
Uganda,2022,46,Christianity
Iceland,2022,46,Christianity
Denmark,2022,46,Christianity
Mongolia,2022,46,Buddhism
Honduras,2022,46,Christianity
Serbia,2022,46,Christianity
Jamaica,2022,46,Christianity
Netherlands,2022,46,Christianity
Russian Federation,2022,46,Christianity
Singapore,2022,45,Buddhism
Norway,2022,45,Christianity
Austria,2022,45,Christianity
North Macedonia,2022,45,Christianity
Malta,2022,45,Christianity
Venezuela,2022,45,Christianity
Mexico,2022,44,Christianity
Dominican Republic,2022,44,Christianity
Paraguay,2022,44,Christianity
Sri Lanka,2022,44,Buddhism
Kyrgyzstan,2022,44,Islam
Bosnia and Herzegovina,2022,44,Islam
Costa Rica,2022,44,Christianity
Kosovo,2022,43,N/A
Bolivia,2022,43,Christianity
Ghana,2022,43,Christianity
Vietnam,2022,43,N/A
Iran,2022,43,N/A
China,2022,42,Buddhism
Sweden,2022,42,Christianity
Colombia,2022,42,Christianity
Ecuador,2022,42,Christianity
Slovakia,2022,41,Christianity
Bulgaria,2022,41,Christianity
Germany,2022,41,Christianity
Nepal,2022,40,Hinduism
India,2022,40,Hinduism
Nicaragua,2022,40,Christianity
Uruguay,2022,40,Christianity
Cyprus,2022,40,Christianity
Senegal,2022,40,Islam
Hungary,2022,40,Christianity
Turkey,2022,40,Islam
Estonia,2022,40,Christianity
Burkina Faso,2022,39,Islam
Tajikistan,2022,39,Islam
Malawi,2022,39,Christianity
Peru,2022,39,Christianity
Slovenia,2022,39,Christianity
Uzbekistan,2022,38,Islam
Chile,2022,38,Christianity
Congo Brazzaville,2022,38,N/A
Mali,2022,38,Islam
Finland,2022,37,Christianity
Iraq,2022,37,Islam
Switzerland,2022,37,Christianity
Cameroon,2022,37,Christianity
Israel,2022,37,Judaism
Mauritius,2022,37,Hinduism
Cote d'Ivoire,2022,37,N/A
Hong Kong,2022,37,N/A
Croatia,2022,37,Christianity
Lithuania,2022,37,Christianity
Panama,2022,36,Christianity
Saudi Arabia,2022,36,Islam
El Salvador,2022,36,Christianity
South Africa,2022,35,Christianity
South Korea,2022,35,N/A
Namibia,2022,35,Christianity
"Moldova, Republic of",2022,34,N/A
Taiwan,2022,34,N/A
Togo,2022,34,Christianity
Kazakhstan,2022,34,Islam
Mozambique,2022,34,Christianity
Gabon,2022,34,Christianity
Albania,2022,34,Islam
Tanzania,2022,33,N/A
Benin,2022,32,Christianity
Spain,2022,32,Christianity
France,2022,32,Christianity
Jordan,2022,32,Islam
Greece,2022,32,Christianity
Morocco,2022,31,Islam
Georgia,2022,31,Christianity
Zimbabwe,2022,31,Christianity
Romania,2022,30,Christianity
Algeria,2022,30,Islam
Pakistan,2022,29,Islam
Italy,2022,29,Christianity
Armenia,2022,29,Christianity
Latvia,2022,29,Christianity
Tunisia,2022,28,Islam
"Lao Peoples Democratic Republic
Democratic Republic",2022,27,N/A
Portugal,2022,26,Christianity
Lebanon,2022,24,Islam
Egypt,2022,23,Islam
Afghanistan,2022,21,Islam
Japan,2022,20,Other
Cambodia,2022,19,Buddhism
