Date,GRA Purchases,PRGT 1/2/,RST,Totals,Tot_billions,Year,World_GDP_(current US$),Tot_div_worldGDP
10/31/2022,"93,054,287,423","15,329,531,139",0,"108,383,818,562",108.38,2022,,
12/31/2021,"89,474,552,025","14,554,823,681",0,"104,029,375,706",104.03,2021,9.61001E+13,0.108251069
12/31/2020,"93,408,630,285","12,481,816,684",0,"105,890,446,969",105.89,2020,8.49068E+13,0.124713721
12/31/2019,"66,945,509,865","6,590,835,450",0,"73,536,345,315",73.54,2019,8.76529E+13,0.083894972
12/31/2018,"55,395,611,392","6,426,181,029",0,"61,821,792,421",61.82,2018,8.6413E+13,0.071542209
12/31/2017,"39,585,385,873","6,522,280,669",0,"46,107,666,542",46.11,2017,8.1404E+13,0.056640557
12/31/2016,"49,267,630,851","6,482,647,937",0,"55,750,278,788",55.75,2016,7.64656E+13,0.072908976
12/31/2015,"50,757,840,741","6,575,911,158",0,"57,333,751,899",57.33,2015,7.51793E+13,0.076262718
12/31/2014,"69,041,563,463","6,292,755,583",0,"75,334,319,046",75.33,2014,7.97088E+13,0.094511908
12/31/2013,"83,899,249,061","6,174,392,682",0,"90,073,641,743",90.07,2013,7.76072E+13,0.116063514
12/31/2012,"90,042,348,252","5,766,292,503",0,"95,808,640,755",95.81,2012,7.54881E+13,0.126918927
12/31/2011,"87,276,915,790","5,308,609,594",0,"92,585,525,384",92.59,2011,7.38538E+13,0.125363279
12/31/2010,"55,620,104,510","4,819,344,134",0,"60,439,448,644",60.44,2010,6.65961E+13,0.090755304
12/31/2009,"37,221,142,436","5,079,705,286",0,"42,300,847,722",42.30,2009,6.08091E+13,0.069563338
12/31/2008,"17,514,964,723","3,972,372,030",0,"21,487,336,753",21.49,2008,6.41237E+13,0.033509194
12/31/2007,"6,036,146,757","3,796,945,581",0,"9,833,092,338",9.83,2007,5.8355E+13,0.016850467
12/31/2006,"9,822,640,239","3,844,020,520",0,"13,666,660,759",13.67,2006,5.17798E+13,0.026393784
12/31/2005,"28,432,143,237","6,282,121,668",0,"34,714,264,905",34.71,2005,4.77797E+13,0.072654818
12/31/2004,"55,373,766,674","6,766,029,353",0,"62,139,796,027",62.14,2004,4.41176E+13,0.140850351
12/31/2003,"65,032,062,712","6,880,893,268",0,"71,912,955,980",71.91,2003,3.9147E+13,0.183699842
12/31/2002,"63,601,058,794","6,868,671,012",0,"70,469,729,806",70.47,2002,3.49114E+13,0.201852905
12/31/2001,"53,477,225,409","6,424,578,684",0,"59,901,804,093",59.90,2001,3.36154E+13,0.178197314
12/31/2000,"42,990,531,049","6,331,595,468",0,"49,322,126,517",49.32,2000,3.38309E+13,0.145790261
12/31/1999,"51,061,861,875","6,434,274,362",0,"57,496,136,237",57.50,1999,3.27374E+13,0.175628426
12/31/1998,"60,451,017,051","6,288,825,925",0,"66,739,842,976",66.74,1998,3.154E+13,0.211604097
12/31/1997,"46,559,033,783","6,009,867,422",0,"52,568,901,205",52.57,1997,3.16204E+13,0.166249727
12/31/1996,"36,127,472,805","5,881,609,752",0,"42,009,082,557",42.01,1996,3.17367E+13,0.132367686
12/31/1995,"35,929,173,412","5,657,438,528",0,"41,586,611,940",41.59,1995,3.10436E+13,0.133961743
12/31/1994,"25,611,676,952","4,599,768,498",0,"30,211,445,450",30.21,1994,2.78723E+13,0.108392541
12/31/1993,"25,196,745,031","3,942,792,899",0,"29,139,537,930",29.14,1993,2.5822E+13,0.112847811
12/31/1992,"23,967,172,718","3,804,463,796",0,"27,771,636,514",27.77,1992,2.54061E+13,0.109310874
12/31/1991,"23,378,573,926","3,285,717,796",0,"26,664,291,722",26.66,1991,2.37596E+13,0.112225469
12/31/1990,"20,731,851,093","2,571,911,617",0,"23,303,762,710",23.30,1990,2.278E+13,0.102299317
12/31/1989,"22,315,104,224","2,334,886,562",0,"24,649,990,786",24.65,1989,2.0194E+13,0.122065892
12/31/1988,"24,750,004,884","1,773,964,293",0,"26,523,969,177",26.52,1988,1.9338E+13,0.137159854
12/31/1987,"28,751,979,125","1,866,342,930",0,"30,618,322,055",30.62,1987,1.73072E+13,0.176910504
12/31/1986,"33,334,905,644","2,013,169,931",0,"35,348,075,575",35.35,1986,1.52053E+13,0.232471832
12/31/1985,"35,194,787,249","2,470,247,948",0,"37,665,035,197",37.67,1985,1.28601E+13,0.292883037
12/31/1984,"34,936,772,393","2,769,874,900",0,"37,706,647,293",37.71,1984,1.22698E+13,0.307312839
